year,cereal_yield_kg_ha,n_cultivos,sup_total_ha
1984,1406.42566395885,11,464460.9041462
1985,1566.34031931204,11,487633.009041462
1986,1513.17611410217,11,398586.690683994
1987,1512.55710663182,11,390294.267455617
1988,1493.46189041619,11,419988.100927315
1989,1501.36809011147,11,416245.962446119
1990,1427.5709438259,11,466603.058392927
1991,1747.88795250851,11,457759.242091903
1992,1564.08827123112,11,514485.591965866
1993,1683.32773235581,11,534883.116602325
1994,1682.40544899065,11,540077.181291006
1995,1815.45920698644,11,524389.595695632
1996,1990.06989869126,11,544919.193146405
1997,1866.34269343835,11,558576.130919364
1998,1683.32743340808,11,532007.604531068
1999,1633.167964831,11,624260.723087002
2000,1718.96873281405,11,589200.296548781
2001,1911.14286165908,11,579970.720469896
2002,1869.95966438121,11,607431.380482228
2003,2156.07836693645,11,605563.129994843
2004,1812.01929982918,11,661404.697462093
2005,2340.16018509724,11,710360.100747779
2006,2514.2795068103,11,728569.371097965
2007,2355.90363270253,11,744917.853727961
2008,2400.16730799024,11,834120.024098371
2009,2551.40078623608,11,820256.073822758
2010,2320.26815720324,11,744059.719691677
2011,2272.75449624706,11,793868.072661684
2012,2235.59836386914,11,968696.776709148
2013,2049.56321582926,11,1052635.5315
2014,2153.42251790575,11,1100763
2015,2464.6279937106,11,1088812.32979665
2016,2371.32863183246,11,1029802.773
2017,2092.70645420187,11,1067517.3033146
2018,2537.96227322084,11,1216779.33375814
2019,2255.93104777833,11,1237208.18957745
2020,2188.54617734589,11,1246816.85659939
