dept_name,year,precip_mm
Beni,2000,1447.05919293541
Chuquisaca,2000,727.240474573411
Cochabamba,2000,1174.66077017823
La Paz,2000,1241.2690486471
Oruro,2000,358.034080235345
Pando,2000,1680.2279686014
Potosí,2000,313.587218988104
Santa Cruz,2000,1113.77896433939
Tarija,2000,738.413140483556
Beni,2005,1588.16700273722
Chuquisaca,2005,708.072027691633
Cochabamba,2005,1215.03926814178
La Paz,2005,1180.06176630685
Oruro,2005,334.526092584218
Pando,2005,1667.43028363034
Potosí,2005,306.116229740795
Santa Cruz,2005,1154.22087203399
Tarija,2005,881.252464235656
Beni,2010,1419.82335125999
Chuquisaca,2010,544.562596895472
Cochabamba,2010,1053.43143412217
La Paz,2010,1199.30135635556
Oruro,2010,301.439288326417
Pando,2010,1785.05665560082
Potosí,2010,263.570697145972
Santa Cruz,2010,869.004574782837
Tarija,2010,649.876673811573
Beni,2015,1788.91311564932
Chuquisaca,2015,698.237732106498
Cochabamba,2015,1158.35925205208
La Paz,2015,1408.17046770954
Oruro,2015,363.352468663372
Pando,2015,1758.34140947735
Potosí,2015,306.125505429375
Santa Cruz,2015,900.919166473783
Tarija,2015,871.697315797968
Beni,2020,1501.31801577816
Chuquisaca,2020,637.230761476684
Cochabamba,2020,1053.30219908376
La Paz,2020,1141.78861549976
Oruro,2020,296.406967355308
Pando,2020,1842.66835301318
Potosí,2020,282.340355377758
Santa Cruz,2020,952.772904477948
Tarija,2020,676.315584955671
Beni,2023,1394.79886222226
Chuquisaca,2023,705.67928261041
Cochabamba,2023,1154.13892209265
La Paz,2023,1269.43973252928
Oruro,2023,248.505612149665
Pando,2023,1532.50049269273
Potosí,2023,247.195853016184
Santa Cruz,2023,1250.46663328483
Tarija,2023,717.170066022359
