dept,year,precip_mm,source
Beni,1990,1447.1,interpolado
Beni,1991,1447.1,interpolado
Beni,1992,1447.1,interpolado
Beni,1993,1447.1,interpolado
Beni,1994,1447.1,interpolado
Beni,1995,1447.1,interpolado
Beni,1996,1447.1,interpolado
Beni,1997,1447.1,interpolado
Beni,1998,1447.1,interpolado
Beni,1999,1447.1,interpolado
Beni,2000,1447.1,CHIRPS_TIF
Beni,2001,1475.3,interpolado
Beni,2002,1503.5,interpolado
Beni,2003,1531.7,interpolado
Beni,2004,1559.9,interpolado
Beni,2005,1588.2,CHIRPS_TIF
Beni,2006,1554.5,interpolado
Beni,2007,1520.8,interpolado
Beni,2008,1487.2,interpolado
Beni,2009,1453.5,interpolado
Beni,2010,1419.8,CHIRPS_TIF
Beni,2011,1493.6,interpolado
Beni,2012,1567.5,interpolado
Beni,2013,1641.3,interpolado
Beni,2014,1715.1,interpolado
Beni,2015,1788.9,CHIRPS_TIF
Beni,2016,1731.4,interpolado
Beni,2017,1673.9,interpolado
Beni,2018,1616.4,interpolado
Beni,2019,1558.8,interpolado
Beni,2020,1501.3,CHIRPS_TIF
Beni,2021,1465.8,interpolado
Beni,2022,1430.3,interpolado
Beni,2023,1394.8,CHIRPS_TIF
Chuquisaca,1990,727.2,interpolado
Chuquisaca,1991,727.2,interpolado
Chuquisaca,1992,727.2,interpolado
Chuquisaca,1993,727.2,interpolado
Chuquisaca,1994,727.2,interpolado
Chuquisaca,1995,727.2,interpolado
Chuquisaca,1996,727.2,interpolado
Chuquisaca,1997,727.2,interpolado
Chuquisaca,1998,727.2,interpolado
Chuquisaca,1999,727.2,interpolado
Chuquisaca,2000,727.2,CHIRPS_TIF
Chuquisaca,2001,723.4,interpolado
Chuquisaca,2002,719.6,interpolado
Chuquisaca,2003,715.7,interpolado
Chuquisaca,2004,711.9,interpolado
Chuquisaca,2005,708.1,CHIRPS_TIF
Chuquisaca,2006,675.4,interpolado
Chuquisaca,2007,642.7,interpolado
Chuquisaca,2008,610,interpolado
Chuquisaca,2009,577.3,interpolado
Chuquisaca,2010,544.6,CHIRPS_TIF
Chuquisaca,2011,575.3,interpolado
Chuquisaca,2012,606,interpolado
Chuquisaca,2013,636.8,interpolado
Chuquisaca,2014,667.5,interpolado
Chuquisaca,2015,698.2,CHIRPS_TIF
Chuquisaca,2016,686,interpolado
Chuquisaca,2017,673.8,interpolado
Chuquisaca,2018,661.6,interpolado
Chuquisaca,2019,649.4,interpolado
Chuquisaca,2020,637.2,CHIRPS_TIF
Chuquisaca,2021,660,interpolado
Chuquisaca,2022,682.9,interpolado
Chuquisaca,2023,705.7,CHIRPS_TIF
Cochabamba,1990,1174.7,interpolado
Cochabamba,1991,1174.7,interpolado
Cochabamba,1992,1174.7,interpolado
Cochabamba,1993,1174.7,interpolado
Cochabamba,1994,1174.7,interpolado
Cochabamba,1995,1174.7,interpolado
Cochabamba,1996,1174.7,interpolado
Cochabamba,1997,1174.7,interpolado
Cochabamba,1998,1174.7,interpolado
Cochabamba,1999,1174.7,interpolado
Cochabamba,2000,1174.7,CHIRPS_TIF
Cochabamba,2001,1182.7,interpolado
Cochabamba,2002,1190.8,interpolado
Cochabamba,2003,1198.9,interpolado
Cochabamba,2004,1207,interpolado
Cochabamba,2005,1215,CHIRPS_TIF
Cochabamba,2006,1182.7,interpolado
Cochabamba,2007,1150.4,interpolado
Cochabamba,2008,1118.1,interpolado
Cochabamba,2009,1085.8,interpolado
Cochabamba,2010,1053.4,CHIRPS_TIF
Cochabamba,2011,1074.4,interpolado
Cochabamba,2012,1095.4,interpolado
Cochabamba,2013,1116.4,interpolado
Cochabamba,2014,1137.4,interpolado
Cochabamba,2015,1158.4,CHIRPS_TIF
Cochabamba,2016,1137.3,interpolado
Cochabamba,2017,1116.3,interpolado
Cochabamba,2018,1095.3,interpolado
Cochabamba,2019,1074.3,interpolado
Cochabamba,2020,1053.3,CHIRPS_TIF
Cochabamba,2021,1086.9,interpolado
Cochabamba,2022,1120.5,interpolado
Cochabamba,2023,1154.1,CHIRPS_TIF
La Paz,1990,1241.3,interpolado
La Paz,1991,1241.3,interpolado
La Paz,1992,1241.3,interpolado
La Paz,1993,1241.3,interpolado
La Paz,1994,1241.3,interpolado
La Paz,1995,1241.3,interpolado
La Paz,1996,1241.3,interpolado
La Paz,1997,1241.3,interpolado
La Paz,1998,1241.3,interpolado
La Paz,1999,1241.3,interpolado
La Paz,2000,1241.3,CHIRPS_TIF
La Paz,2001,1229,interpolado
La Paz,2002,1216.8,interpolado
La Paz,2003,1204.5,interpolado
La Paz,2004,1192.3,interpolado
La Paz,2005,1180.1,CHIRPS_TIF
La Paz,2006,1183.9,interpolado
La Paz,2007,1187.8,interpolado
La Paz,2008,1191.6,interpolado
La Paz,2009,1195.5,interpolado
La Paz,2010,1199.3,CHIRPS_TIF
La Paz,2011,1241.1,interpolado
La Paz,2012,1282.8,interpolado
La Paz,2013,1324.6,interpolado
La Paz,2014,1366.4,interpolado
La Paz,2015,1408.2,CHIRPS_TIF
La Paz,2016,1354.9,interpolado
La Paz,2017,1301.6,interpolado
La Paz,2018,1248.3,interpolado
La Paz,2019,1195.1,interpolado
La Paz,2020,1141.8,CHIRPS_TIF
La Paz,2021,1184.3,interpolado
La Paz,2022,1226.9,interpolado
La Paz,2023,1269.4,CHIRPS_TIF
Oruro,1990,358,interpolado
Oruro,1991,358,interpolado
Oruro,1992,358,interpolado
Oruro,1993,358,interpolado
Oruro,1994,358,interpolado
Oruro,1995,358,interpolado
Oruro,1996,358,interpolado
Oruro,1997,358,interpolado
Oruro,1998,358,interpolado
Oruro,1999,358,interpolado
Oruro,2000,358,CHIRPS_TIF
Oruro,2001,353.3,interpolado
Oruro,2002,348.6,interpolado
Oruro,2003,343.9,interpolado
Oruro,2004,339.2,interpolado
Oruro,2005,334.5,CHIRPS_TIF
Oruro,2006,327.9,interpolado
Oruro,2007,321.3,interpolado
Oruro,2008,314.7,interpolado
Oruro,2009,308.1,interpolado
Oruro,2010,301.4,CHIRPS_TIF
Oruro,2011,313.8,interpolado
Oruro,2012,326.2,interpolado
Oruro,2013,338.6,interpolado
Oruro,2014,351,interpolado
Oruro,2015,363.4,CHIRPS_TIF
Oruro,2016,350,interpolado
Oruro,2017,336.6,interpolado
Oruro,2018,323.2,interpolado
Oruro,2019,309.8,interpolado
Oruro,2020,296.4,CHIRPS_TIF
Oruro,2021,280.4,interpolado
Oruro,2022,264.5,interpolado
Oruro,2023,248.5,CHIRPS_TIF
Pando,1990,1680.2,interpolado
Pando,1991,1680.2,interpolado
Pando,1992,1680.2,interpolado
Pando,1993,1680.2,interpolado
Pando,1994,1680.2,interpolado
Pando,1995,1680.2,interpolado
Pando,1996,1680.2,interpolado
Pando,1997,1680.2,interpolado
Pando,1998,1680.2,interpolado
Pando,1999,1680.2,interpolado
