Code,year,all_meat_prod_ton,cereals_prod_ton,use_of_pesticides_per_area_of_cropland
BOL,1961,88392.25,411470,
BOL,1962,92719.94,418321,
BOL,1963,94130.55,449507,
BOL,1964,94352.8,381392,
BOL,1965,97119.17,455106,
BOL,1966,101250.6,434564,
BOL,1967,104517.85,429601,
BOL,1968,109839.75,480710,
BOL,1969,114445,503075,
BOL,1970,123381.15,478920,
BOL,1971,125120.9,510860,
BOL,1972,137699.3,491455,
BOL,1973,143840.3,498445,
BOL,1974,147806.2,516196,
BOL,1975,159315.95,592260,
BOL,1976,169037.6,631970,
BOL,1977,180262.8,557490,
BOL,1978,182226.4,557915,
BOL,1979,190432.5,595580,
BOL,1980,221626.84,625905,
BOL,1981,216316.55,766100,
BOL,1982,214564.66,700371,
BOL,1983,226955.75,496789,
BOL,1984,212816.45,865748,
BOL,1985,223113.6,972965,
BOL,1986,212936.8,839006,
BOL,1987,224550.4,865495,
BOL,1988,249278.16,834282,
BOL,1989,250749.7,845276,
BOL,1990,264844.1,792648,1.09
BOL,1991,249167.6,902497,0.74
BOL,1992,247425.12,952128,0.4
BOL,1993,271619,1113756,0.55
BOL,1994,298055.22,956890,0.66
BOL,1995,313285.7,1089553.1,0.73
BOL,1996,329167,1138597.6,0.83
BOL,1997,346489.7,944951.9,0.89
BOL,1998,376394.7,1157807.1,0.97
BOL,1999,382982,1137351,1.06
BOL,2000,384972,1244321.8,1.14
BOL,2001,382827,1324781,1.24
BOL,2002,403950,1315565.2,1.29
BOL,2003,416889.2,1462502,1.3
BOL,2004,448892.2,1255985,1.71
BOL,2005,492775.2,1659795,1.78
BOL,2006,554643.2,1865967,1.88
BOL,2007,635752.2,1733466,1.97
BOL,2008,661963.2,2052972,2.01
BOL,2009,636202.2,2378919,2.26
BOL,2010,702566.8,2133671,2.78
BOL,2011,721009.75,1988006.8,2.88
BOL,2012,765046.1,2125542.8,2.91
BOL,2013,795621.75,2503244.8,3.36
BOL,2014,805808.8,2449241,3.15
BOL,2015,837296.94,2934919,3.06
BOL,2016,861097.94,2660808,3.22
BOL,2017,919242.6,2278993.8,4.38
BOL,2018,917863.25,3267425.2,4.18
BOL,2019,928659.06,2912082,3.25
BOL,2020,936307.4,2914459,3.49
BOL,2021,966032.56,3741163.2,3.24
BOL,2022,1019620.56,2615641.2,3.3
BOL,2023,1067851.9,3086273.5,2.71
BOL,2024,1130531.6,3737131.8,
