year,PSE_BOB_mm,MPS_BOB_mm,GSSE_BOB_mm,CSE_BOB_mm,TSE_BOB_mm,GDP_BOB_mm,PSEP_pct,GSSEP_pct,TSEP_pct,CSEP_pct,NPC_producer,NAC_producer,bob_per_usd,PSE_USD_mm,MPS_USD_mm,GSSE_USD_mm,CSE_USD_mm,TSE_USD_mm,GDP_USD_mm,BT_BOB_mm_agg,GHG_total_GgCO2e
2006,-1169.22,-1302.18,251.0802928,1328.66,-918.136251,91747.8,-7.873531125,NA,-1.000717512,10.72667908,1.054672188,0.927011464,8.011533712,-145.94209324098517,-162.53816644989485,31.33985349445909,165.84340124661514,-114.60180834348587,11451.96454239173,196.571658798,NA
2007,310.1166745,165.2371857,254.8661617,-210.9556298,564.9828362,103009.18,1.86395719,45.11042555,0.548478131,-1.495228859,0.963084186,1.018993605,7.844070733,39.53517058373013,21.06523402508946,32.49156852038295,-26.8936419597174,72.02673910411308,13132.107486823194,181.53951270500002,NA
2008,-2857.43,-3025.38,201.9915304,3081.61,-2655.43,120693.76,-14.99668687,NA,-2.200142308,18.34055749,1.171459293,0.86959027,7.238472191,-394.75595465474106,-417.9583647170221,27.905271315561237,425.7265785771118,-366.8495132580112,16673.92742767809,-52.93723956,NA
2009,-5779.11,-5949.13,257.8560291,5713.37,-5521.25,121726.75,-26.90620958,NA,-4.535776277,34.00310593,1.293126878,0.787983506,7.02,-823.2350427350427,-847.454415954416,36.73162807692308,813.8703703703704,-786.5028490028491,17339.992877492878,95.179130351,NA
2010,1563.342994,1156.718424,592.2175604,-871.7205109,2155.560554,137875.568,6.073142386,27.47394683,1.563410098,-3.902839985,0.969972719,1.064658209,NA,NA,NA,NA,NA,NA,NA,433.00091606899997,NA
2011,707.0263589,164.8249891,779.0788701,-741.8148377,1486.105229,166231.5629,2.425385624,52.42420623,0.893997026,-2.75416802,0.99294806,1.024856728,NA,NA,NA,NA,NA,NA,NA,-332.21290340999997,NA
2012,-94.81211354,-783.9613001,1065.625294,-575.3319195,978.7242472,187153.8776,-0.298654669,NA,0.522951627,-2.12680789,1.007492765,0.997022346,NA,NA,NA,NA,NA,NA,NA,-907.751761835,NA
2013,559.7518304,-378.981339,1805.042976,-186.059945,2379.882846,211856.0317,1.578035927,75.84587532,1.12334911,-0.652603678,1.002866688,1.016033372,NA,NA,NA,NA,NA,NA,NA,-518.903243924,NA
2014,828.7443823,-145.1995428,1630.424045,-715.0606304,2474.367601,228003.6592,1.874478641,65.8925555,1.085231531,-1.875629737,0.982763647,1.019102866,NA,NA,NA,NA,NA,NA,NA,-600.6391639880001,NA
2015,-1274.640956,-2295.313382,1796.131385,13.6437254,536.1502447,228031.3699,-2.955128997,NA,0.235121266,0.036500346,0.979963065,0.971296923,NA,NA,NA,NA,NA,NA,NA,-1981.4815288710001,NA
2016,2915.426895,2198.708976,1291.319689,-2649.216937,4221.852237,234533.182,7.160864983,30.58656761,1.80010871,-7.422671027,0.947420997,1.077131966,NA,NA,NA,NA,NA,NA,NA,0.341325530000006,NA
2017,1131.792702,263.7260403,1532.105164,-1721.590444,2678.094593,259184.7174,2.394758718,57.20877701,1.033276429,-3.958656374,0.974248572,1.024535145,NA,NA,NA,NA,NA,NA,NA,-621.052646243,NA
2018,2983.078342,1632.946155,2286.579205,-2869.971752,5278.157547,278387.6472,5.862010336,43.32154137,1.895974049,-6.394635841,0.961446373,1.062270401,NA,NA,NA,NA,NA,NA,NA,-640.23042088,NA
2019,3577.76415,2213.214888,2223.249772,-4228.396688,5809.513921,282586.6809,6.489050968,38.26911858,2.055834303,-8.5491373,0.930760352,1.069393489,NA,NA,NA,NA,NA,NA,NA,-1022.8183608219999,27886.2685
2020,3372.101497,2651.322406,1320.403951,-3457.450044,4692.505449,253112.2207,6.032097623,28.13857045,1.853922911,-6.778721274,0.95559157,1.064193171,NA,NA,NA,NA,NA,NA,NA,-276.59480544,28683.7356
2021,51.97980465,-985.7951128,1860.447715,-360.2458511,1922.92752,279206.2318,0.090686403,96.75079773,0.68871225,-0.768235397,0.994745481,1.000907687,NA,NA,NA,NA,NA,NA,NA,-987.9053821140001,29370.7247999999
2022,2104.354439,1116.321427,1792.66728,-2076.054744,3907.521718,304097.2347,3.457983228,45.87734654,1.284957991,-4.608356644,0.967914708,1.035818427,NA,NA,NA,NA,NA,NA,NA,-558.1929959979999,30048.7779
2023,3938.053059,2959.961784,2015.405168,-2985.118108,5963.958226,311885.6002,5.7947731750000004,33.79307988,1.912226221,-5.537348065,0.967134028,1.061512226,NA,NA,NA,NA,NA,NA,NA,-269.104378232,31512.8951966846
