dept,cultivo,year,indicator,value
Bolivia,Arroz con cáscara,1984,produccion,157737
Bolivia,Arroz con cáscara,1985,produccion,199277
Bolivia,Arroz con cáscara,1986,produccion,130031
Bolivia,Arroz con cáscara,1987,produccion,165892
Bolivia,Arroz con cáscara,1988,produccion,172445
Bolivia,Arroz con cáscara,1989,produccion,170070
Bolivia,Arroz con cáscara,1990,produccion,217349
Bolivia,Arroz con cáscara,1991,produccion,216053
Bolivia,Arroz con cáscara,1992,produccion,206191
Bolivia,Arroz con cáscara,1993,produccion,196887
Bolivia,Arroz con cáscara,1994,produccion,226153
Bolivia,Arroz con cáscara,1995,produccion,239664
Bolivia,Arroz con cáscara,1996,produccion,317091
Bolivia,Arroz con cáscara,1997,produccion,228566
Bolivia,Arroz con cáscara,1998,produccion,269004
Bolivia,Arroz con cáscara,1999,produccion,229070
Bolivia,Arroz con cáscara,2000,produccion,273369
Bolivia,Arroz con cáscara,2001,produccion,304830
Bolivia,Arroz con cáscara,2002,produccion,168349
Bolivia,Arroz con cáscara,2003,produccion,325428
Bolivia,Arroz con cáscara,2004,produccion,303707
Bolivia,Arroz con cáscara,2005,produccion,463395
Bolivia,Arroz con cáscara,2006,produccion,450166
Bolivia,Arroz con cáscara,2007,produccion,335818
Bolivia,Arroz con cáscara,2008,produccion,412138
Bolivia,Arroz con cáscara,2009,produccion,415809
Bolivia,Arroz con cáscara,2010,produccion,427595
Bolivia,Arroz con cáscara,2011,produccion,443595
Bolivia,Arroz con cáscara,2012,produccion,458293
Bolivia,Arroz con cáscara,2013,produccion,476516
Bolivia,Arroz con cáscara,2014,produccion,484057
Bolivia,Arroz con cáscara,2015,produccion,527341
Bolivia,Arroz con cáscara,2016,produccion,406954
Bolivia,Arroz con cáscara,2017,produccion,478578
Bolivia,Arroz con cáscara,2018,produccion,541157
Bolivia,Arroz con cáscara,2019,produccion,600044.318042883
Bolivia,Arroz con cáscara,2020,produccion,487427.370995209
Bolivia,Avena,1984,produccion,5598
Bolivia,Avena,1985,produccion,6883
Bolivia,Avena,1986,produccion,6700
Bolivia,Avena,1987,produccion,6766
Bolivia,Avena,1988,produccion,7509
Bolivia,Avena,1989,produccion,8451
Bolivia,Avena,1990,produccion,9630
Bolivia,Avena,1991,produccion,7583
Bolivia,Avena,1992,produccion,7015
Bolivia,Avena,1993,produccion,8388
Bolivia,Avena,1994,produccion,8509
Bolivia,Avena,1995,produccion,8843
Bolivia,Avena,1996,produccion,9088
Bolivia,Avena,1997,produccion,9487
Bolivia,Avena,1998,produccion,9753
Bolivia,Avena,1999,produccion,9012
Bolivia,Avena,2000,produccion,9263
Bolivia,Avena,2001,produccion,9746
Bolivia,Avena,2002,produccion,10023
Bolivia,Avena,2003,produccion,10460
Bolivia,Avena,2004,produccion,10757
Bolivia,Avena,2005,produccion,11165
Bolivia,Avena,2006,produccion,11946
Bolivia,Avena,2007,produccion,12919
Bolivia,Avena,2008,produccion,13652
Bolivia,Avena,2009,produccion,18764
Bolivia,Avena,2010,produccion,20222
Bolivia,Avena,2011,produccion,22498
Bolivia,Avena,2012,produccion,22829
Bolivia,Avena,2013,produccion,23709
Bolivia,Avena,2014,produccion,28996
Bolivia,Avena,2015,produccion,27393
Bolivia,Avena,2016,produccion,24684
Bolivia,Avena,2017,produccion,21021
Bolivia,Avena,2018,produccion,21906
Bolivia,Avena,2019,produccion,22203.6296657821
Bolivia,Avena,2020,produccion,23203.1948440721
Bolivia,Cañahua,1984,produccion,258
Bolivia,Cañahua,1985,produccion,292
Bolivia,Cañahua,1986,produccion,311
Bolivia,Cañahua,1987,produccion,322
Bolivia,Cañahua,1988,produccion,357
Bolivia,Cañahua,1989,produccion,363
Bolivia,Cañahua,1990,produccion,353
Bolivia,Cañahua,1991,produccion,383
Bolivia,Cañahua,1992,produccion,406
Bolivia,Cañahua,1993,produccion,390
Bolivia,Cañahua,1994,produccion,486
Bolivia,Cañahua,1995,produccion,474
Bolivia,Cañahua,1996,produccion,477
Bolivia,Cañahua,1997,produccion,511
Bolivia,Cañahua,1998,produccion,538
Bolivia,Cañahua,1999,produccion,527
Bolivia,Cañahua,2000,produccion,540
Bolivia,Cañahua,2001,produccion,559
Bolivia,Cañahua,2002,produccion,583
Bolivia,Cañahua,2003,produccion,626
Bolivia,Cañahua,2004,produccion,613
Bolivia,Cañahua,2005,produccion,624
Bolivia,Cañahua,2006,produccion,629
Bolivia,Cañahua,2007,produccion,622
Bolivia,Cañahua,2008,produccion,635
Bolivia,Cañahua,2009,produccion,675
Bolivia,Cañahua,2010,produccion,680
Bolivia,Cañahua,2011,produccion,704
Bolivia,Cañahua,2012,produccion,704
Bolivia,Cañahua,2013,produccion,714
Bolivia,Cañahua,2014,produccion,771
Bolivia,Cañahua,2015,produccion,756
Bolivia,Cañahua,2016,produccion,774
Bolivia,Cañahua,2017,produccion,780
Bolivia,Cañahua,2018,produccion,777
Bolivia,Cañahua,2019,produccion,793.301437425265
Bolivia,Cañahua,2020,produccion,779.719599985166
Bolivia,Cebada en grano,1984,produccion,36276
Bolivia,Cebada en grano,1985,produccion,42645
Bolivia,Cebada en grano,1986,produccion,41973
Bolivia,Cebada en grano,1987,produccion,42666
Bolivia,Cebada en grano,1988,produccion,40502
Bolivia,Cebada en grano,1989,produccion,49045
Bolivia,Cebada en grano,1990,produccion,38072
Bolivia,Cebada en grano,1991,produccion,41734
Bolivia,Cebada en grano,1992,produccion,36767
Bolivia,Cebada en grano,1993,produccion,39370
Bolivia,Cebada en grano,1994,produccion,41403
Bolivia,Cebada en grano,1995,produccion,37180
Bolivia,Cebada en grano,1996,produccion,36215
Bolivia,Cebada en grano,1997,produccion,39458
Bolivia,Cebada en grano,1998,produccion,39571
Bolivia,Cebada en grano,1999,produccion,40080
Bolivia,Cebada en grano,2000,produccion,43650
Bolivia,Cebada en grano,2001,produccion,43707
Bolivia,Cebada en grano,2002,produccion,45011
Bolivia,Cebada en grano,2003,produccion,45199
Bolivia,Cebada en grano,2004,produccion,45043
Bolivia,Cebada en grano,2005,produccion,45384
Bolivia,Cebada en grano,2006,produccion,45664
Bolivia,Cebada en grano,2007,produccion,45233
Bolivia,Cebada en grano,2008,produccion,45847
Bolivia,Cebada en grano,2009,produccion,41470
Bolivia,Cebada en grano,2010,produccion,43063
Bolivia,Cebada en grano,2011,produccion,44235
Bolivia,Cebada en grano,2012,produccion,44254
Bolivia,Cebada en grano,2013,produccion,44920
Bolivia,Cebada en grano,2014,produccion,44798
Bolivia,Cebada en grano,2015,produccion,51405
Bolivia,Cebada en grano,2016,produccion,45996
Bolivia,Cebada en grano,2017,produccion,45483
Bolivia,Cebada en grano,2018,produccion,46620
Bolivia,Cebada en grano,2019,produccion,47951.1758255755
Bolivia,Cebada en grano,2020,produccion,47567.2280079095
Bolivia,Centeno,1984,produccion,36
Bolivia,Centeno,1985,produccion,35
Bolivia,Centeno,1986,produccion,45
Bolivia,Centeno,1987,produccion,42
Bolivia,Centeno,1988,produccion,37
Bolivia,Centeno,1989,produccion,37
Bolivia,Centeno,1990,produccion,35
Bolivia,Centeno,1991,produccion,51
Bolivia,Centeno,1992,produccion,68
Bolivia,Centeno,1993,produccion,75
Bolivia,Centeno,1994,produccion,77
Bolivia,Centeno,1995,produccion,83
Bolivia,Centeno,1996,produccion,127
Bolivia,Centeno,1997,produccion,103
Bolivia,Centeno,1998,produccion,84
Bolivia,Centeno,1999,produccion,105
Bolivia,Centeno,2000,produccion,121
Bolivia,Centeno,2001,produccion,135
Bolivia,Centeno,2002,produccion,128
Bolivia,Centeno,2003,produccion,136
Bolivia,Centeno,2004,produccion,161
Bolivia,Centeno,2005,produccion,194
Bolivia,Centeno,2006,produccion,190
Bolivia,Centeno,2007,produccion,232
Bolivia,Centeno,2008,produccion,235
Bolivia,Centeno,2009,produccion,140
Bolivia,Centeno,2010,produccion,160
Bolivia,Centeno,2011,produccion,185
Bolivia,Centeno,2012,produccion,226
Bolivia,Centeno,2013,produccion,231
