page,title,entity,year,value
103,"Cuadro Nº 22 | GASTO EN BIENES Y SERVICIOS MENSUAL DEL SECTOR PÚBLICO NO FINANCIERO, 2000-2024 | (En millones de bolivianos)",EMAPA,2000,0
103,"Cuadro Nº 22 | GASTO EN BIENES Y SERVICIOS MENSUAL DEL SECTOR PÚBLICO NO FINANCIERO, 2000-2024 | (En millones de bolivianos)",EMAPA,2001,0
103,"Cuadro Nº 22 | GASTO EN BIENES Y SERVICIOS MENSUAL DEL SECTOR PÚBLICO NO FINANCIERO, 2000-2024 | (En millones de bolivianos)",EMAPA,2002,0
103,"Cuadro Nº 22 | GASTO EN BIENES Y SERVICIOS MENSUAL DEL SECTOR PÚBLICO NO FINANCIERO, 2000-2024 | (En millones de bolivianos)",EMAPA,2003,0
103,"Cuadro Nº 22 | GASTO EN BIENES Y SERVICIOS MENSUAL DEL SECTOR PÚBLICO NO FINANCIERO, 2000-2024 | (En millones de bolivianos)",EMAPA,2004,0
103,"Cuadro Nº 22 | GASTO EN BIENES Y SERVICIOS MENSUAL DEL SECTOR PÚBLICO NO FINANCIERO, 2000-2024 | (En millones de bolivianos)",EMAPA,2005,0
103,"Cuadro Nº 22 | GASTO EN BIENES Y SERVICIOS MENSUAL DEL SECTOR PÚBLICO NO FINANCIERO, 2000-2024 | (En millones de bolivianos)",EMAPA,2006,0
103,"Cuadro Nº 22 | GASTO EN BIENES Y SERVICIOS MENSUAL DEL SECTOR PÚBLICO NO FINANCIERO, 2000-2024 | (En millones de bolivianos)",EMAPA,2007,0
103,"Cuadro Nº 22 | GASTO EN BIENES Y SERVICIOS MENSUAL DEL SECTOR PÚBLICO NO FINANCIERO, 2000-2024 | (En millones de bolivianos)",EMAPA,2008,237
103,"Cuadro Nº 22 | GASTO EN BIENES Y SERVICIOS MENSUAL DEL SECTOR PÚBLICO NO FINANCIERO, 2000-2024 | (En millones de bolivianos)",EMAPA,2009,281
103,"Cuadro Nº 22 | GASTO EN BIENES Y SERVICIOS MENSUAL DEL SECTOR PÚBLICO NO FINANCIERO, 2000-2024 | (En millones de bolivianos)",EMAPA,2010,392
103,"Cuadro Nº 22 | GASTO EN BIENES Y SERVICIOS MENSUAL DEL SECTOR PÚBLICO NO FINANCIERO, 2000-2024 | (En millones de bolivianos)",EMAPA,2011,747
103,"Cuadro Nº 22 | GASTO EN BIENES Y SERVICIOS MENSUAL DEL SECTOR PÚBLICO NO FINANCIERO, 2000-2024 | (En millones de bolivianos)",EMAPA,2012,769
103,"Cuadro Nº 22 | GASTO EN BIENES Y SERVICIOS MENSUAL DEL SECTOR PÚBLICO NO FINANCIERO, 2000-2024 | (En millones de bolivianos)",EMAPA,2013,1185
103,"Cuadro Nº 22 | GASTO EN BIENES Y SERVICIOS MENSUAL DEL SECTOR PÚBLICO NO FINANCIERO, 2000-2024 | (En millones de bolivianos)",EMAPA,2014,1564
103,"Cuadro Nº 22 | GASTO EN BIENES Y SERVICIOS MENSUAL DEL SECTOR PÚBLICO NO FINANCIERO, 2000-2024 | (En millones de bolivianos)",EMAPA,2015,777
103,"Cuadro Nº 22 | GASTO EN BIENES Y SERVICIOS MENSUAL DEL SECTOR PÚBLICO NO FINANCIERO, 2000-2024 | (En millones de bolivianos)",EMAPA,2016,443
103,"Cuadro Nº 22 | GASTO EN BIENES Y SERVICIOS MENSUAL DEL SECTOR PÚBLICO NO FINANCIERO, 2000-2024 | (En millones de bolivianos)",EMAPA,2017,759
103,"Cuadro Nº 22 | GASTO EN BIENES Y SERVICIOS MENSUAL DEL SECTOR PÚBLICO NO FINANCIERO, 2000-2024 | (En millones de bolivianos)",EMAPA,2018,435
103,"Cuadro Nº 22 | GASTO EN BIENES Y SERVICIOS MENSUAL DEL SECTOR PÚBLICO NO FINANCIERO, 2000-2024 | (En millones de bolivianos)",EMAPA,2019,521
103,"Cuadro Nº 22 | GASTO EN BIENES Y SERVICIOS MENSUAL DEL SECTOR PÚBLICO NO FINANCIERO, 2000-2024 | (En millones de bolivianos)",EMAPA,2020,547
103,"Cuadro Nº 22 | GASTO EN BIENES Y SERVICIOS MENSUAL DEL SECTOR PÚBLICO NO FINANCIERO, 2000-2024 | (En millones de bolivianos)",EMAPA,2021,793
103,"Cuadro Nº 22 | GASTO EN BIENES Y SERVICIOS MENSUAL DEL SECTOR PÚBLICO NO FINANCIERO, 2000-2024 | (En millones de bolivianos)",EMAPA,2022,923
103,"Cuadro Nº 22 | GASTO EN BIENES Y SERVICIOS MENSUAL DEL SECTOR PÚBLICO NO FINANCIERO, 2000-2024 | (En millones de bolivianos)",EMAPA,2023,1604
103,"Cuadro Nº 22 | GASTO EN BIENES Y SERVICIOS MENSUAL DEL SECTOR PÚBLICO NO FINANCIERO, 2000-2024 | (En millones de bolivianos)",EMAPA,2024,970
