sector,year,inv_pub_usd_mm
TOTAL,1990,315
TOTAL,1991,420
TOTAL,1992,532
TOTAL,1993,481
TOTAL,1994,557
TOTAL,1995,673
TOTAL,1996,735
TOTAL,1997,714
TOTAL,1998,505
TOTAL,1999,531
TOTAL,2000,583
TOTAL,2001,639
TOTAL,2002,585
TOTAL,2003,500
TOTAL,2004,602
TOTAL,2005,629
TOTAL,2006,879
TOTAL,2007,1005
PRODUCTIVOS,1990,162
PRODUCTIVOS,1991,226
PRODUCTIVOS,1992,249
PRODUCTIVOS,1993,173
PRODUCTIVOS,1994,168
PRODUCTIVOS,1995,160
PRODUCTIVOS,1996,133
PRODUCTIVOS,1997,104
PRODUCTIVOS,1998,78
PRODUCTIVOS,1999,64
PRODUCTIVOS,2000,75
PRODUCTIVOS,2001,83
PRODUCTIVOS,2002,76
PRODUCTIVOS,2003,62
PRODUCTIVOS,2004,73
PRODUCTIVOS,2005,92
PRODUCTIVOS,2006,142
PRODUCTIVOS,2007,192
Agropecuario,1990,35
Agropecuario,1991,51
Agropecuario,1992,55
Agropecuario,1993,38
Agropecuario,1994,14
Agropecuario,1995,19
Agropecuario,1996,21
Agropecuario,1997,33
Agropecuario,1998,53
Agropecuario,1999,42
Agropecuario,2000,53
Agropecuario,2001,59
Agropecuario,2002,54
Agropecuario,2003,41
Agropecuario,2004,49
Agropecuario,2005,57
Agropecuario,2006,76
Agropecuario,2007,83
Hidrocarburos,1990,101
Hidrocarburos,1991,118
Hidrocarburos,1992,117
Hidrocarburos,1993,95
Hidrocarburos,1994,111
Hidrocarburos,1995,74
Hidrocarburos,1996,67
Hidrocarburos,1997,35
Hidrocarburos,1998,2
Hidrocarburos,1999,3
Hidrocarburos,2000,0
Hidrocarburos,2001,0
Hidrocarburos,2002,0
Hidrocarburos,2003,0
Hidrocarburos,2004,0
Hidrocarburos,2005,4
Hidrocarburos,2006,7
Hidrocarburos,2007,8
Energía,1990,24
Energía,1991,52
Energía,1992,70
Energía,1993,35
Energía,1994,36
Energía,1995,58
Energía,1996,38
Energía,1997,24
Energía,1998,15
Energía,1999,12
Energía,2000,13
Energía,2001,16
Energía,2002,13
Energía,2003,13
Energía,2004,18
Energía,2005,20
Energía,2006,44
Energía,2007,70
Industria y Turismo,1990,1
Industria y Turismo,1991,2
Industria y Turismo,1992,3
Industria y Turismo,1993,1
Industria y Turismo,1994,1
Industria y Turismo,1995,1
Industria y Turismo,1996,1
Industria y Turismo,1997,7
Industria y Turismo,1998,4
Industria y Turismo,1999,4
Industria y Turismo,2000,6
Industria y Turismo,2001,6
Industria y Turismo,2002,7
Industria y Turismo,2003,5
Industria y Turismo,2004,4
Industria y Turismo,2005,7
Industria y Turismo,2006,11
Industria y Turismo,2007,20
Minero,1990,2
Minero,1991,4
Minero,1992,4
Minero,1993,4
Minero,1994,6
Minero,1995,8
Minero,1996,6
Minero,1997,5
Minero,1998,4
Minero,1999,4
Minero,2000,3
Minero,2001,2
Minero,2002,3
Minero,2003,3
Minero,2004,1
Minero,2005,3
Minero,2006,3
Minero,2007,11
INFRAESTRUCTURA,1990,91
INFRAESTRUCTURA,1991,125
INFRAESTRUCTURA,1992,190
INFRAESTRUCTURA,1993,215
INFRAESTRUCTURA,1994,220
INFRAESTRUCTURA,1995,230
INFRAESTRUCTURA,1996,252
INFRAESTRUCTURA,1997,234
INFRAESTRUCTURA,1998,162
INFRAESTRUCTURA,1999,166
INFRAESTRUCTURA,2000,190
INFRAESTRUCTURA,2001,214
INFRAESTRUCTURA,2002,209
INFRAESTRUCTURA,2003,214
INFRAESTRUCTURA,2004,279
INFRAESTRUCTURA,2005,306
INFRAESTRUCTURA,2006,437
INFRAESTRUCTURA,2007,481
Comunicaciones,1990,21
Comunicaciones,1991,7
Comunicaciones,1992,15
Comunicaciones,1993,33
Comunicaciones,1994,7
Comunicaciones,1995,7
Comunicaciones,1996,0
Comunicaciones,1997,0
Comunicaciones,1998,0
Comunicaciones,1999,0
Comunicaciones,2000,0
Comunicaciones,2001,0
Comunicaciones,2002,0
Comunicaciones,2003,0
Comunicaciones,2004,0
Comunicaciones,2005,0
Comunicaciones,2006,1
Comunicaciones,2007,1
Recursos Hídricos,1990,3
Recursos Hídricos,1991,5
Recursos Hídricos,1992,5
Recursos Hídricos,1993,5
Recursos Hídricos,1994,6
Recursos Hídricos,1995,14
Recursos Hídricos,1996,10
Recursos Hídricos,1997,10
Recursos Hídricos,1998,9
Recursos Hídricos,1999,6
Recursos Hídricos,2000,8
Recursos Hídricos,2001,12
Recursos Hídricos,2002,18
Recursos Hídricos,2003,11
Recursos Hídricos,2004,14
Recursos Hídricos,2005,17
Recursos Hídricos,2006,27
Recursos Hídricos,2007,30
Transportes,1990,67
Transportes,1991,113
Transportes,1992,170
Transportes,1993,177
Transportes,1994,206
Transportes,1995,209
Transportes,1996,242
Transportes,1997,223
Transportes,1998,153
Transportes,1999,160
Transportes,2000,182
Transportes,2001,202
Transportes,2002,190
Transportes,2003,203
Transportes,2004,264
Transportes,2005,289
Transportes,2006,409
Transportes,2007,450
SOCIALES,1990,58
SOCIALES,1991,37
SOCIALES,1992,85
SOCIALES,1993,85
SOCIALES,1994,140
SOCIALES,1995,237
SOCIALES,1996,298
SOCIALES,1997,319
SOCIALES,1998,245
SOCIALES,1999,265
SOCIALES,2000,285
SOCIALES,2001,295
SOCIALES,2002,251
SOCIALES,2003,187
SOCIALES,2004,221
SOCIALES,2005,194
SOCIALES,2006,263
SOCIALES,2007,284
Educación y Cultura,1990,0
Educación y Cultura,1991,2
Educación y Cultura,1992,8
Educación y Cultura,1993,8
Educación y Cultura,1994,17
Educación y Cultura,1995,48
Educación y Cultura,1996,79
Educación y Cultura,1997,99
Educación y Cultura,1998,64
Educación y Cultura,1999,76
Educación y Cultura,2000,84
Educación y Cultura,2001,107
Educación y Cultura,2002,96
Educación y Cultura,2003,66
Educación y Cultura,2004,54
Educación y Cultura,2005,42
Educación y Cultura,2006,75
Educación y Cultura,2007,78
"Salud, Seguridad Social y Deportes",1990,15
"Salud, Seguridad Social y Deportes",1991,11
