dept_code,dept,program,tip,year,corriente_bob,corriente_pct,inversion_bob,inversion_pct,total_bob,total_pct,program_code
1,Beni,0 EJECUTIVO MUNICIPAL,total,2012,,0,,0,,0,0
1,Beni,0 EJECUTIVO MUNICIPAL,total,2013,19384094,4.49,,0,19384094,2.9,0
1,Beni,0 EJECUTIVO MUNICIPAL,total,2014,21595036,4.32,,0,21595036,2.99,0
1,Beni,0 EJECUTIVO MUNICIPAL,total,2015,24829017,4.19,,0,24829017,2.65,0
1,Beni,0 EJECUTIVO MUNICIPAL,total,2016,28612789,4.96,,0,28612789,3.93,0
1,Beni,0 EJECUTIVO MUNICIPAL,total,2017,28498493,6.13,,0,28498493,5.16,0
1,Beni,0 EJECUTIVO MUNICIPAL,total,2018,27760213,5.48,,0,27760213,4.38,0
1,Beni,0 EJECUTIVO MUNICIPAL,total,2019,29187098,4.52,,0,29187098,3.88,0
1,Beni,0 EJECUTIVO MUNICIPAL,total,2020,29814203,4.8,,0,29814203,3.79,0
1,Beni,0 EJECUTIVO MUNICIPAL,total,2021,24586379,4.45,,0,24586379,3.92,0
1,Beni,1 CONCEJO MUNICIPAL,total,2012,,0,,0,,0,1
1,Beni,1 CONCEJO MUNICIPAL,total,2013,,0,,0,,0,1
1,Beni,1 CONCEJO MUNICIPAL,total,2014,,0,,0,,0,1
1,Beni,1 CONCEJO MUNICIPAL,total,2015,,0,,0,,0,1
1,Beni,1 CONCEJO MUNICIPAL,total,2016,,0,,0,,0,1
1,Beni,1 CONCEJO MUNICIPAL,total,2017,,0,,0,,0,1
1,Beni,1 CONCEJO MUNICIPAL,total,2018,,0,,0,,0,1
1,Beni,1 CONCEJO MUNICIPAL,total,2019,,0,,0,,0,1
1,Beni,1 CONCEJO MUNICIPAL,total,2020,698400,0.11,,0,698400,0.09,1
1,Beni,1 CONCEJO MUNICIPAL,total,2021,,0,,0,,0,1
1,Beni,10 PROMOCIÓN Y FOMENTO A LA PRODUCCIÓN AGROPECUARIA,total,2012,9117025,2.64,10049382,5.4,19166407,3.61,10
1,Beni,10 PROMOCIÓN Y FOMENTO A LA PRODUCCIÓN AGROPECUARIA,total,2013,13401083,3.1,11308583,4.81,24709666,3.7,10
1,Beni,10 PROMOCIÓN Y FOMENTO A LA PRODUCCIÓN AGROPECUARIA,total,2014,17829267,3.57,6419000,2.9,24248267,3.36,10
1,Beni,10 PROMOCIÓN Y FOMENTO A LA PRODUCCIÓN AGROPECUARIA,total,2015,17725546,2.99,10377587,3,28103133,2.99,10
1,Beni,10 PROMOCIÓN Y FOMENTO A LA PRODUCCIÓN AGROPECUARIA,total,2016,11343098,1.97,4971842,3.28,16314940,2.24,10
1,Beni,10 PROMOCIÓN Y FOMENTO A LA PRODUCCIÓN AGROPECUARIA,total,2017,7671910,1.65,3809762,4.33,11481672,2.08,10
1,Beni,10 PROMOCIÓN Y FOMENTO A LA PRODUCCIÓN AGROPECUARIA,total,2018,7348970,1.45,1655000,1.3,9003970,1.42,10
1,Beni,10 PROMOCIÓN Y FOMENTO A LA PRODUCCIÓN AGROPECUARIA,total,2019,8172070,1.26,150000,0.14,8322070,1.1,10
1,Beni,10 PROMOCIÓN Y FOMENTO A LA PRODUCCIÓN AGROPECUARIA,total,2020,7662919,1.23,1128568,0.68,8791487,1.12,10
1,Beni,10 PROMOCIÓN Y FOMENTO A LA PRODUCCIÓN AGROPECUARIA,total,2021,6733048,1.22,862630,1.17,7595678,1.21,10
1,Beni,11 SANEAMIENTO BÁSICO,total,2012,3138826,0.91,27830156,14.96,30968982,5.83,11
1,Beni,11 SANEAMIENTO BÁSICO,total,2013,5299232,1.23,27485587,11.68,32784819,4.91,11
1,Beni,11 SANEAMIENTO BÁSICO,total,2014,6811938,1.36,21410319,9.67,28222257,3.91,11
1,Beni,11 SANEAMIENTO BÁSICO,total,2015,7981289,1.35,38279274,11.07,46260563,4.93,11
1,Beni,11 SANEAMIENTO BÁSICO,total,2016,8406565,1.46,10825629,7.13,19232194,2.64,11
1,Beni,11 SANEAMIENTO BÁSICO,total,2017,4179598,0.9,3105232,3.53,7284830,1.32,11
1,Beni,11 SANEAMIENTO BÁSICO,total,2018,8832868,1.74,12600368,9.93,21433236,3.39,11
1,Beni,11 SANEAMIENTO BÁSICO,total,2019,10175926,1.57,6049192,5.66,16225118,2.15,11
1,Beni,11 SANEAMIENTO BÁSICO,total,2020,5523596,0.89,11073163,6.71,16596759,2.11,11
1,Beni,11 SANEAMIENTO BÁSICO,total,2021,5379507,0.97,5134006,6.99,10513513,1.68,11
1,Beni,12 CONSTRUCCIÓN Y MANTENIMIENTO DE MICRORIEGOS,total,2012,20000,0.01,3e+05,0.16,320000,0.06,12
1,Beni,12 CONSTRUCCIÓN Y MANTENIMIENTO DE MICRORIEGOS,total,2013,50000,0.01,1e+05,0.04,150000,0.02,12
1,Beni,12 CONSTRUCCIÓN Y MANTENIMIENTO DE MICRORIEGOS,total,2014,50001,0.01,1e+05,0.05,150001,0.02,12
1,Beni,12 CONSTRUCCIÓN Y MANTENIMIENTO DE MICRORIEGOS,total,2015,50000,0.01,,0,50000,0.01,12
1,Beni,12 CONSTRUCCIÓN Y MANTENIMIENTO DE MICRORIEGOS,total,2016,1e+05,0.02,1e+05,0.07,2e+05,0.03,12
