program,year,corriente_bob,corriente_pct,inversion_bob,inversion_pct,total_bob,total_pct,program_code
0 EJECUTIVO MUNICIPAL,2012,1289004302,19.77,,0,1289004302,11.1,0
0 EJECUTIVO MUNICIPAL,2013,1151120445,13.74,,0,1151120445,8.18,0
0 EJECUTIVO MUNICIPAL,2014,1348203362,13.94,,0,1348203362,8.21,0
0 EJECUTIVO MUNICIPAL,2015,1554531636,13.1,,0,1554531636,8.17,0
0 EJECUTIVO MUNICIPAL,2016,1751234413,14.69,,0,1751234413,10.57,0
0 EJECUTIVO MUNICIPAL,2017,1739723368,14.94,,0,1739723368,10.94,0
0 EJECUTIVO MUNICIPAL,2018,1798031571,14.3,,0,1798031571,10.43,0
0 EJECUTIVO MUNICIPAL,2019,2179826828,14.72,,0,2179826828,11.81,0
0 EJECUTIVO MUNICIPAL,2020,1879291355,13.1,,0,1879291355,10.42,0
0 EJECUTIVO MUNICIPAL,2021,1558872420,13.25,,0,1558872420,11.13,0
1 CONCEJO MUNICIPAL,2012,41277523,0.63,,0,41277523,0.36,1
1 CONCEJO MUNICIPAL,2013,313926799,3.75,,0,313926799,2.23,1
1 CONCEJO MUNICIPAL,2014,355488997,3.68,,0,355488997,2.16,1
1 CONCEJO MUNICIPAL,2015,429424308,3.62,,0,429424308,2.26,1
1 CONCEJO MUNICIPAL,2016,495073691,4.15,,0,495073691,2.99,1
1 CONCEJO MUNICIPAL,2017,492470382,4.23,,0,492470382,3.1,1
1 CONCEJO MUNICIPAL,2018,498431836,3.96,,0,498431836,2.89,1
1 CONCEJO MUNICIPAL,2019,515936342,3.48,,0,515936342,2.79,1
1 CONCEJO MUNICIPAL,2020,522076209,3.64,,0,522076209,2.9,1
1 CONCEJO MUNICIPAL,2021,440843325,3.75,,0,440843325,3.15,1
10 PROMOCIÓN Y FOMENTO A LA PRODUCCIÓN AGROPECUARIA,2012,313520356,4.81,,0,313520356,2.7,10
