dept,year,area_ha_antropico,area_ha_natural,area_ha_no_definido
Beni,1985,2009674.25839263,18376473.2162568,1.13780860595703
Beni,1986,1834616.63263311,18551531.6302664,0.349558209228516
Beni,1987,1727155.41824279,18658992.8456193,0.348595812988281
Beni,1988,1617737.43146548,18768410.6561154,0.524876794433594
Beni,1989,1595772.85607256,18790375.1442279,0.612157720947266
Beni,1990,1673160.01923047,18712987.9810725,0.612157720947266
Beni,1991,1617892.14756738,18768255.9397162,0.525174163818359
Beni,1992,1672221.77629159,18713925.6999537,1.13621253051758
Beni,1993,1597988.58416115,18788158.366136,1.66216088256836
Beni,1994,1665574.89031435,18720573.2842501,0.437893237304688
Beni,1995,1605918.83080455,18780229.3437599,0.437893237304688
Beni,1996,1684879.4796409,18701268.6079401,0.524876696777344
Beni,1997,1684629.19087036,18701519.2464307,0.175156628417969
Beni,1998,1661913.8048741,18724234.1080738,0.699509918212891
Beni,1999,1730050.88054745,18656097.5574616,0.174448803710938
Beni,2000,1711148.02411078,18675000.065834,0.522514306640625
Beni,2001,1780056.49434811,18606091.5081406,0.60997080078125
Beni,2002,1816493.43911617,18569654.6508274,0.522514306640625
Beni,2003,1819066.73887624,18567081.2638994,0.609682183837891
Beni,2004,1791928.05493095,18594220.1219972,0.435530749511719
Beni,2005,1728842.88328577,18657305.467794,0.261379315185547
Beni,2006,1710680.45244161,18675467.8986369,0.261379315185547
Beni,2007,1792471.88754171,18593676.3763686,0.348547283935547
Beni,2008,1850789.98647681,18535358.1902657,0.435715161132812
Beni,2009,1926218.98694878,18459929.3642965,0.261213220214844
Beni,2010,1902673.74153549,18483474.5225411,0.348381097412109
Beni,2011,1889518.83622778,18496629.3405713,0.435658386230469
Beni,2012,1969202.39268446,18416945.9585637,0.261209582519531
Beni,2013,1912989.61267559,18473158.8256883,0.174094750976562
Beni,2014,1935098.55304571,18451049.7982023,0.261209582519531
Beni,2015,1931289.20077252,18454859.0633076,0.348377459716797
Beni,2016,1986444.61416298,18399703.6497512,0.348543371582031
Beni,2017,2023519.01428708,18362629.4240192,0.174151434326172
Beni,2018,2154616.4195338,18231532.0187725,0.174151434326172
Beni,2019,2281340.90179098,18104807.6236839,0.0869835571289062
Beni,2020,2501071.15901161,17885077.3664639,0.0869835571289062
Beni,2021,2695944.04480311,17690204.5676549,0
Beni,2022,2800285.1085223,17585863.5039355,0
Beni,2023,2925350.09113361,17460798.5213249,0
Beni,2024,2996157.25048543,17389991.4489651,0
Chuquisaca,1985,142733.631314599,4953204.419756,0
Chuquisaca,1986,138195.106957867,4957742.94411276,0
Chuquisaca,1987,138281.917178412,4957656.13389222,0
Chuquisaca,1988,146010.858515276,4949927.19255534,0
Chuquisaca,1989,154471.303827142,4941466.7472435,0
Chuquisaca,1990,155946.540310564,4939991.5107601,0
Chuquisaca,1991,160664.116576153,4935273.93449446,0
Chuquisaca,1992,165826.546041247,4930111.50502935,0
Chuquisaca,1993,171587.865421807,4924350.18564884,0
Chuquisaca,1994,172871.691966179,4923066.3591044,0
Chuquisaca,1995,172520.096882403,4923417.95418817,0
Chuquisaca,1996,166271.667776178,4929666.38329444,0
Chuquisaca,1997,170508.507581616,4925429.54348896,0
Chuquisaca,1998,179315.072101678,4916622.9789689,0
Chuquisaca,1999,185064.365359612,4910873.68571097,0
Chuquisaca,2000,186077.031535504,4909861.01953507,0
Chuquisaca,2001,187894.078851287,4908043.9722193,0
Chuquisaca,2002,190169.342409369,4905768.70866122,0
Chuquisaca,2003,202989.047611169,4892949.00345939,0
Chuquisaca,2004,193607.294291052,4902330.75677956,0
Chuquisaca,2005,193518.035298797,4902420.01577181,0
Chuquisaca,2006,196947.776890405,4898990.2741802,0
Chuquisaca,2007,202086.202017663,4893851.84905293,0
Chuquisaca,2008,206301.289423461,4889636.76164711,0
Chuquisaca,2009,209626.206083177,4886311.8449874,0
Chuquisaca,2010,206343.27747166,4889594.77359891,0
Chuquisaca,2011,211777.149379455,4884160.90169114,0
Chuquisaca,2012,207046.559415143,4888891.32436499,0.167290539550781
Chuquisaca,2013,207929.933469603,4888007.95031054,0.167290539550781
Chuquisaca,2014,206903.16252218,4889034.72125797,0.167290539550781
Chuquisaca,2015,208706.501861425,4887231.38191871,0.167290539550781
Chuquisaca,2016,210882.071287029,4885055.81249312,0.167290539550781
Chuquisaca,2017,218781.011934991,4877156.87184513,0.167290539550781
Chuquisaca,2018,226858.746688213,4869079.13709192,0.167290539550781
Chuquisaca,2019,235037.842525109,4860900.04125502,0.167290539550781
Chuquisaca,2020,249601.273234112,4846336.61054601,0.167290539550781
Chuquisaca,2021,253569.254194397,4842368.46205762,0.250943151855469
Chuquisaca,2022,259017.660360223,4836920.05589177,0.250943151855469
Chuquisaca,2023,268905.970535882,4827031.99665922,0
Chuquisaca,2024,318591.399440082,4777346.73549496,0
Cochabamba,1985,269171.161148035,5485645.41847562,
Cochabamba,1986,284308.466611542,5470508.11301209,
Cochabamba,1987,296272.332273897,5458544.24734974,
Cochabamba,1988,298811.347530969,5456005.23209268,
Cochabamba,1989,316092.702639374,5438723.87698282,
Cochabamba,1990,327161.834091333,5427654.74553188,
Cochabamba,1991,332826.65561559,5421989.92400806,
Cochabamba,1992,351367.422300382,5403449.15732325,
Cochabamba,1993,369538.000225126,5385278.57939851,
Cochabamba,1994,370474.382812665,5384342.19681096,
Cochabamba,1995,373641.296437067,5381175.28318657,
Cochabamba,1996,386279.548629846,5368537.03099377,
Cochabamba,1997,390324.343129052,5364492.23649459,
Cochabamba,1998,401244.722707362,5353571.85691626,
Cochabamba,1999,411536.118128727,5343280.46149486,
Cochabamba,2000,416377.282000953,5338439.29761961,
Cochabamba,2001,422870.443793108,5331946.13583052,
Cochabamba,2002,433499.520073682,5321317.05954997,
Cochabamba,2003,446895.42778373,5307921.1518399,
Cochabamba,2004,447736.639460918,5307079.94016125,
Cochabamba,2005,450613.158617767,5304203.42100435,
Cochabamba,2006,452012.19540685,5302804.3842168,
Cochabamba,2007,458447.367548315,5296369.21207531,
Cochabamba,2008,464754.533573883,5290062.04604977,
Cochabamba,2009,466665.638526571,5288150.94109709,
Cochabamba,2010,463957.098951039,5290859.48067262,
Cochabamba,2011,463437.028925258,5291379.55069837,
Cochabamba,2012,461300.326181827,5293516.25344179,
Cochabamba,2013,468743.850772078,5286072.72885007,
Cochabamba,2014,475460.274358481,5279356.3052652,
Cochabamba,2015,502305.592390137,5252510.98723352,
Cochabamba,2016,511556.625411478,5243259.95421217,
Cochabamba,2017,525426.403784327,5229390.17583936,
Cochabamba,2018,535946.158115375,5218870.42150832,
Cochabamba,2019,549967.111845765,5204849.46777793,
Cochabamba,2020,597432.489888074,5157384.08973563,
Cochabamba,2021,620664.02448746,5134152.55513472,
Cochabamba,2022,629099.436698997,5125717.14292467,
Cochabamba,2023,719094.738821429,5035721.84080231,
Cochabamba,2024,808889.859599293,4945926.72002399,
La Paz,1985,916601.600960021,12215062.0919602,7.48221087036133
La Paz,1986,958253.36056311,12173410.5058006,7.30876782836914
La Paz,1987,882118.675826346,12249547.0189799,5.48032489013672
La Paz,1988,877972.224907773,12253693.8186058,5.13161758422852
La Paz,1989,863773.824255401,12267891.786031,5.56484466552734
La Paz,1990,881833.966225748,12249833.2953433,3.91356100463867
La Paz,1991,891312.233037335,12240354.5049255,4.43716827392578
La Paz,1992,889408.265424832,12242257.7786869,5.13101925048828
La Paz,1993,937276.502030459,12194389.8008766,4.87222397460937
La Paz,1994,914555.987346367,12217108.5771556,6.61062902832031
