municipio,dept,year,area_antropico,area_natural,area_no_def,area_total_ha,antropico_share,natural_share
Acasio,Potosi,1985,1379.37650300294,33092.8421632151,,34472.2186662181,4.00141492591163,95.9985850740884
Acasio,Potosi,1986,841.758622845461,33630.4600433731,,34472.2186662185,2.44184637779161,97.5581536222084
Acasio,Potosi,1987,682.56157842407,33789.6570877943,,34472.2186662184,1.98003379194435,98.0199662080557
Acasio,Potosi,1988,823.909165740966,33648.3095004773,,34472.2186662182,2.39006712541068,97.6099328745893
Acasio,Potosi,1989,961.237349151613,33510.9813170667,,34472.2186662183,2.78844062361903,97.211559376381
Acasio,Potosi,1990,1000.71550769654,33471.5031585219,,34472.2186662184,2.90296228794,97.09703771206
Acasio,Potosi,1991,1211.911655542,33260.3070106761,,34472.2186662181,3.51561838034417,96.4843816196558
Acasio,Potosi,1992,1392.98205872192,33079.2366074961,,34472.2186662181,4.04088310128702,95.959116898713
Acasio,Potosi,1993,2039.35651094359,32432.862155274,,34472.2186662176,5.91594214080031,94.0840578591997
Acasio,Potosi,1994,2483.07084080805,31989.1478254097,,34472.2186662178,7.2031071305585,92.7968928694415
Acasio,Potosi,1995,2552.93533693233,31919.2833292853,,34472.2186662176,7.40577611685371,92.5942238831463
Acasio,Potosi,1996,2724.58760836177,31747.631057856,,34472.2186662177,7.90371990483986,92.0962800951602
Acasio,Potosi,1997,2859.98267834468,31612.2359878731,,34472.2186662178,8.29648566005244,91.7035143399476
Acasio,Potosi,1998,2998.69269650265,31473.5259697151,,34472.2186662177,8.69886770427493,91.3011322957251
Acasio,Potosi,1999,2997.17660260005,31475.0420636178,,34472.2186662178,8.69446968766543,91.3055303123346
Acasio,Potosi,2000,2978.71818242793,31493.5004837899,,34472.2186662178,8.64092390243226,91.3590760975677
Acasio,Potosi,2001,2877.94612223506,31594.2725439829,,34472.218666218,8.34859557518235,91.6514044248176
Acasio,Potosi,2002,2914.36111387934,31557.8575523386,,34472.218666218,8.45423133943901,91.545768660561
Acasio,Potosi,2003,3112.38609343257,31359.8325727851,,34472.2186662177,9.02867936516852,90.9713206348315
Acasio,Potosi,2004,2900.68794442134,31571.5307217963,,34472.2186662177,8.41456702426866,91.5854329757314
Acasio,Potosi,2005,3005.36607453608,31466.8525916817,,34472.2186662178,8.71822641773066,91.2817735822693
Acasio,Potosi,2006,3036.06046411129,31436.1582021067,,34472.218666218,8.8072673636367,91.1927326363633
Acasio,Potosi,2007,3120.39419908444,31351.8244671334,,34472.2186662178,9.05190997219559,90.9480900278044
Acasio,Potosi,2008,3072.73895529171,31399.479710926,,34472.2186662177,8.91366751018829,91.0863324898117
Acasio,Potosi,2009,3122.11140068356,31350.1072655339,,34472.2186662175,9.05689137944348,90.9431086205565
Acasio,Potosi,2010,3211.64073504025,31260.5779311774,,34472.2186662176,9.31660583305485,90.6833941669452
Acasio,Potosi,2011,3277.000983728,31195.2176824894,,34472.2186662174,9.50620850795265,90.4937914920473
Acasio,Potosi,2012,3137.75782620235,31334.4608400155,,34472.2186662179,9.10227988683913,90.8977201131609
Acasio,Potosi,2013,2958.36611639398,31513.8525498238,,34472.2186662178,8.58188486513962,91.4181151348604
Acasio,Potosi,2014,2953.7716695495,31518.4469966682,,34472.2186662177,8.56855689548104,91.4314431045189
Acasio,Potosi,2015,3108.82212164301,31363.3965445748,,34472.2186662178,9.01834068687202,90.981659313128
Acasio,Potosi,2016,3302.86530250848,31169.3533637094,,34472.2186662179,9.58123796582094,90.4187620341791
Acasio,Potosi,2017,3403.20256832271,31069.0160978951,,34472.2186662178,9.87230500384875,90.1276949961512
Acasio,Potosi,2018,3372.31885487054,31099.8998113471,,34472.2186662177,9.78271485082962,90.2172851491704
Acasio,Potosi,2019,3391.56600012199,31080.6526660956,,34472.2186662176,9.83854863814056,90.1614513618594
Acasio,Potosi,2020,3950.83244765621,30521.3862185614,,34472.2186662177,11.4609172270306,88.5390827729694
Acasio,Potosi,2021,3990.15055349118,30482.0681127265,,34472.2186662177,11.574974596577,88.425025403423
Acasio,Potosi,2022,4047.18100595089,30425.0376602668,,34472.2186662177,11.7404134765398,88.2595865234602
Acasio,Potosi,2023,7416.55643349615,27055.6622327211,,34472.2186662173,21.5145897782447,78.4854102217553
Acasio,Potosi,2024,10729.1628351198,23743.0558310976,,34472.2186662175,31.1240855687491,68.8759144312509
Achacachi,La Paz,1985,13896.1161279542,57688.7654775616,,71584.8816055158,19.4120822948787,80.5879177051214
Achacachi,La Paz,1986,15410.8450597534,56174.0365457635,,71584.8816055169,21.5280722886126,78.4719277113874
Achacachi,La Paz,1987,11469.0882244566,60115.793381068,,71584.8816055246,16.0216626293498,83.9783373706502
Achacachi,La Paz,1988,11364.1720612549,60220.7095442736,,71584.8816055285,15.8751007284997,84.1248992715003
Achacachi,La Paz,1989,11312.9799428771,60271.9016626503,,71584.8816055275,15.8035882565511,84.1964117434489
Achacachi,La Paz,1990,12483.9072810974,59100.9743244301,,71584.8816055274,17.4393070172144,82.5606929827856
Achacachi,La Paz,1991,13368.7551010867,58216.1265044401,,71584.8816055268,18.6753889945033,81.3246110054967
Achacachi,La Paz,1992,13953.9385298342,57630.9430756941,,71584.8816055283,19.4928568950186,80.5071431049814
Achacachi,La Paz,1993,14005.9725726254,57578.9090329043,,71584.8816055297,19.5655454873917,80.4344545126083
Achacachi,La Paz,1994,14678.0155501281,56906.8660553964,,71584.8816055245,20.504351227418,79.495648772582
Achacachi,La Paz,1995,14611.4592167664,56973.4223887533,,71584.8816055197,20.4113758227404,79.5886241772596
Achacachi,La Paz,1996,16291.7595651234,55293.122040393,,71584.8816055164,22.7586596495369,77.2413403504631
Achacachi,La Paz,1997,17495.181968529,54089.6996369808,,71584.8816055098,24.4397721643817,75.5602278356183
Achacachi,La Paz,1998,15064.0685078672,56520.8130976635,,71584.8816055307,21.0436452083248,78.9563547916752
Achacachi,La Paz,1999,14717.6578401548,56867.2237653722,,71584.8816055269,20.5597292473813,79.4402707526187
Achacachi,La Paz,2000,15786.132870984,55798.7487345364,,71584.8816055203,22.0523279733504,77.9476720266495
Achacachi,La Paz,2001,18982.4573206124,52602.4242849029,,71584.8816055153,26.5174110718231,73.4825889281769
Achacachi,La Paz,2002,15688.5295873171,55896.3520182026,,71584.8816055197,21.9159817484526,78.0840182515474
Achacachi,La Paz,2003,16750.2294632871,54834.6521422345,,71584.8816055216,23.3991159691952,76.6008840308048
Achacachi,La Paz,2004,12554.8255968198,59030.0560087072,,71584.881605527,17.5383758626632,82.4616241373368
Achacachi,La Paz,2005,14150.5732660585,57434.3083394705,,71584.881605529,19.7675444153637,80.2324555846363
Achacachi,La Paz,2006,15511.6242547966,56073.2573507315,,71584.8816055282,21.6688550807057,78.3311449192943
Achacachi,La Paz,2007,16756.3418815174,54828.539724012,,71584.8816055294,23.4076546691154,76.5923453308846
Achacachi,La Paz,2008,20276.3730104003,51308.5085951122,,71584.8816055125,28.3249375505552,71.6750624494448
Achacachi,La Paz,2009,18958.4221426441,52626.4594628721,,71584.8816055163,26.4838352979593,73.5161647020407
Achacachi,La Paz,2010,21263.8545120967,50321.0270934173,,71584.881605514,29.7043929321227,70.2956070678774
Achacachi,La Paz,2011,20913.8514462584,50671.0301592598,,71584.8816055182,29.2154585957242,70.7845414042758
Achacachi,La Paz,2012,19035.1935891841,52549.6880163301,,71584.8816055142,26.5910806335926,73.4089193664074
Achacachi,La Paz,2013,21930.4444589785,49654.437146536,,71584.8816055145,30.6355810991368,69.3644189008632
Achacachi,La Paz,2014,25341.8792339157,46243.0023716063,,71584.881605522,35.4011610629818,64.5988389370182
Achacachi,La Paz,2015,34273.147439139,37311.7341663827,,71584.8816055218,47.8776337551355,52.1223662448645
Achacachi,La Paz,2016,34757.5615042935,36827.3201012271,,71584.8816055206,48.5543325975313,51.4456674024687
Achacachi,La Paz,2017,32886.5614569576,38698.3201485602,,71584.8816055179,45.9406521591882,54.0593478408119
Achacachi,La Paz,2018,35181.8864232202,36402.9951823009,,71584.8816055211,49.14709032711,50.85290967289
Achacachi,La Paz,2019,35558.1422791418,36026.7393263795,,71584.8816055213,49.6726983151136,50.3273016848864
Achacachi,La Paz,2020,35611.3866238202,35973.4949817012,,71584.8816055213,49.7470776302485,50.2529223697515
Achacachi,La Paz,2021,33366.8441385949,38218.0374669247,,71584.8816055197,46.611579694255,53.388420305745
Achacachi,La Paz,2022,33110.4203723202,38474.4612331949,,71584.8816055151,46.2533703062928,53.7466296937072
Achacachi,La Paz,2023,33297.2287395098,38287.6528660076,,71584.8816055174,46.5143309490973,53.4856690509027
Achacachi,La Paz,2024,35376.8394819523,36208.0421235738,,71584.8816055261,49.4194286398335,50.5805713601665
Achocalla,La Paz,1985,5852.16036276242,13634.7230720882,,19486.8834348507,30.0312791541428,69.9687208458572
Achocalla,La Paz,1986,6071.95700069582,13414.9264341552,,19486.8834348511,31.1592000896178,68.8407999103823
Achocalla,La Paz,1987,6134.74797451171,13352.1354603393,,19486.883434851,31.48142182418,68.51857817582
Achocalla,La Paz,1988,6370.11467929077,13116.7687555602,,19486.8834348509,32.6892430007472,67.3107569992529
Achocalla,La Paz,1989,6233.8432687378,13253.0401661132,,19486.883434851,31.9899448753769,68.0100551246231
