municipio,dept,area_antropico_1985,area_antropico_2024,area_natural_1985,area_natural_2024,antropico_share_1985,antropico_share_2024,cambio_antrop_ha,cambio_antrop_pct,cambio_natural_ha,cambio_antrop_share_pp
Acasio,Potosi,1379.37650300294,10729.1628351198,33092.8421632151,23743.0558310976,4.00141492591163,31.1240855687491,9349.78633211688,677.826997325394,-9349.78633211751,27.1226706428375
Achacachi,La Paz,13896.1161279542,35376.8394819523,57688.7654775616,36208.0421235738,19.4120822948787,49.4194286398335,21480.7233539981,154.580770311687,-21480.7233539878,30.0073463449549
Achocalla,La Paz,5852.16036276242,10321.1442199033,13634.7230720882,9165.73921494735,30.0312791541428,52.9645710377925,4468.98385714087,76.3646855198506,-4468.9838571409,22.9332918836497
Aiquile,Cochabamba,4872.73248736575,14355.8101945861,267263.924894109,257780.84718688,1.79054616686031,5.27522103516651,9483.07770722037,194.615192436862,-9483.07770722814,3.4846748683062
Alalay,Cochabamba,3837.01398972167,13283.7303989562,38421.4384235199,28974.7220142905,9.07987342319086,31.434493315217,9446.71640923448,246.199686384769,-9446.71640922939,22.3546198920261
Alto Beni,La Paz,3484.69925474242,20601.312925268,100997.948452952,83881.3347824287,3.3351942463129,19.7174491432326,17116.6136705255,491.193426440778,-17116.6136705238,16.3822548969197
Ancoraimes,La Paz,5700.66128650521,9871.30359969461,26957.4284270492,22786.7861138619,17.4555870735428,30.2262125135782,4170.6423131894,73.1606756406013,-4170.64231318735,12.7706254400354
Antequera (Bolivar),Oruro,527.269540704344,1389.43081436162,27774.411966437,26912.2506927809,1.86303255716908,4.90935782035059,862.161273657274,163.514333201491,-862.161273656137,3.04632526318151
Anzaldo,Cochabamba,9036.14425711055,20852.6874411854,55520.8472188518,43704.3040347671,13.9971582481119,32.301206986935,11816.5431840749,130.769749218827,-11816.5431840846,18.3040487388231
Apolo,La Paz,5884.94914199832,23123.2025875062,1385965.47165168,1368727.91259002,0.422814584439862,1.66132730256547,17238.2534455079,292.921026665906,-17237.5590616567,1.23851271812561
Arampampa,Potosi,3338.02081974486,9590.13517990132,39053.6956651331,32801.581304981,7.87422896861372,22.6226630462613,6252.11436015646,187.300040885735,-6252.11436015213,14.7484340776476
Arani,Cochabamba,6246.65561782245,11543.6995321041,15352.0332548575,10054.9893405764,28.9214574766333,53.4462975977461,5297.04391428168,84.7980781775225,-5297.04391428103,24.5248401211128
