destino,dept,year,deuda_mm_bob
AGROPECUARIO,Beni,2005,10.1
AGROPECUARIO,Potosí,2005,92.5
AGROPECUARIO,Santa Cruz,2005,3.9
CAMINOS,Beni,2005,6.2
CAMINOS,Chuquisaca,2005,100.2
CAMINOS,Cochabamba,2005,9.3
CAMINOS,La Paz,2005,131.6
CAMINOS,Pando,2005,8.1
CAMINOS,Potosí,2005,157.7
CAMINOS,Santa Cruz,2005,188.6
ELECTRIFICACIÓN,Beni,2005,0
ELECTRIFICACIÓN,Chuquisaca,2005,8.3
ELECTRIFICACIÓN,Cochabamba,2005,0
ELECTRIFICACIÓN,La Paz,2005,62.1
ELECTRIFICACIÓN,Pando,2005,7.2
ELECTRIFICACIÓN,Potosí,2005,30.1
ELECTRIFICACIÓN,Santa Cruz,2005,0.4
FORTALECIMIENTO,Cochabamba,2005,0
FORTALECIMIENTO,La Paz,2005,0
FORTALECIMIENTO,Oruro,2005,0
FORTALECIMIENTO,Pando,2005,8
FORTALECIMIENTO,Potosí,2005,0.7
FORTALECIMIENTO,Santa Cruz,2005,0
RIEGO,Chuquisaca,2005,80.8
RIEGO,Cochabamba,2005,70
RIEGO,La Paz,2005,0
RIEGO,Oruro,2005,1
RIEGO,Potosí,2005,1.4
RIEGO,Santa Cruz,2005,133.8
RIEGO,Tarija,2005,0.8
SEGURIDAD SOCIAL,Beni,2005,0
SEGURIDAD SOCIAL,Chuquisaca,2005,0
SEGURIDAD SOCIAL,Cochabamba,2005,17.7
SEGURIDAD SOCIAL,La Paz,2005,29.5
SEGURIDAD SOCIAL,Oruro,2005,0
TRANSPORTE,Beni,2005,14.4
TRANSPORTE,Pando,2005,0
TRANSPORTE,Oruro,2005,9.5
OTROS,Beni,2005,64.3
OTROS,Chuquisaca,2005,68.8
OTROS,Cochabamba,2005,154.3
OTROS,La Paz,2005,36.6
OTROS,Oruro,2005,57.8
OTROS,Pando,2005,23.5
OTROS,Potosí,2005,37.9
OTROS,Santa Cruz,2005,114.8
OTROS,Tarija,2005,332.2
AGROPECUARIO,Beni,2006,8.8
AGROPECUARIO,Potosí,2006,93.1
AGROPECUARIO,Santa Cruz,2006,3.3
CAMINOS,Beni,2006,6.2
CAMINOS,Chuquisaca,2006,104.8
CAMINOS,Cochabamba,2006,45.7
CAMINOS,La Paz,2006,191.6
CAMINOS,Pando,2006,7.8
CAMINOS,Potosí,2006,165.7
CAMINOS,Santa Cruz,2006,175.3
ELECTRIFICACIÓN,Beni,2006,2.3
ELECTRIFICACIÓN,Chuquisaca,2006,8.2
ELECTRIFICACIÓN,Cochabamba,2006,10.2
ELECTRIFICACIÓN,La Paz,2006,69.6
ELECTRIFICACIÓN,Pando,2006,7.1
ELECTRIFICACIÓN,Potosí,2006,29.1
ELECTRIFICACIÓN,Santa Cruz,2006,3.4
FORTALECIMIENTO,Cochabamba,2006,0
FORTALECIMIENTO,La Paz,2006,0
FORTALECIMIENTO,Oruro,2006,0
FORTALECIMIENTO,Pando,2006,8
FORTALECIMIENTO,Potosí,2006,0.6
FORTALECIMIENTO,Santa Cruz,2006,0
RIEGO,Chuquisaca,2006,92.3
RIEGO,Cochabamba,2006,74.5
RIEGO,La Paz,2006,0
RIEGO,Oruro,2006,1
RIEGO,Potosí,2006,1.4
RIEGO,Santa Cruz,2006,141
RIEGO,Tarija,2006,1.4
SEGURIDAD SOCIAL,Beni,2006,0
SEGURIDAD SOCIAL,Chuquisaca,2006,0
SEGURIDAD SOCIAL,Cochabamba,2006,16
SEGURIDAD SOCIAL,La Paz,2006,29.2
SEGURIDAD SOCIAL,Oruro,2006,0
TRANSPORTE,Beni,2006,12.9
TRANSPORTE,Pando,2006,0
TRANSPORTE,Oruro,2006,8.4
OTROS,Beni,2006,113.1
OTROS,Chuquisaca,2006,75.1
OTROS,Cochabamba,2006,165.1
OTROS,La Paz,2006,33.9
OTROS,Oruro,2006,55.2
OTROS,Pando,2006,22.4
OTROS,Potosí,2006,36.5
OTROS,Santa Cruz,2006,100.4
OTROS,Tarija,2006,313.3
AGROPECUARIO,Beni,2007,7.4
AGROPECUARIO,Potosí,2007,89.8
AGROPECUARIO,Santa Cruz,2007,2.6
CAMINOS,Beni,2007,5.4
CAMINOS,Chuquisaca,2007,107.7
CAMINOS,Cochabamba,2007,38
CAMINOS,La Paz,2007,179.7
CAMINOS,Pando,2007,7.1
CAMINOS,Potosí,2007,178.4
CAMINOS,Santa Cruz,2007,153.3
ELECTRIFICACIÓN,Beni,2007,2
ELECTRIFICACIÓN,Chuquisaca,2007,7.2
ELECTRIFICACIÓN,Cochabamba,2007,11
ELECTRIFICACIÓN,La Paz,2007,65.5
ELECTRIFICACIÓN,Pando,2007,6.8
ELECTRIFICACIÓN,Potosí,2007,26.4
ELECTRIFICACIÓN,Santa Cruz,2007,5.8
FORTALECIMIENTO,Cochabamba,2007,0
FORTALECIMIENTO,La Paz,2007,0
FORTALECIMIENTO,Oruro,2007,0
FORTALECIMIENTO,Pando,2007,7
FORTALECIMIENTO,Potosí,2007,0.5
FORTALECIMIENTO,Santa Cruz,2007,0
RIEGO,Chuquisaca,2007,106
RIEGO,Cochabamba,2007,78.3
RIEGO,La Paz,2007,0
RIEGO,Oruro,2007,0.9
RIEGO,Potosí,2007,1.3
RIEGO,Santa Cruz,2007,148.7
RIEGO,Tarija,2007,1.3
SEGURIDAD SOCIAL,Beni,2007,0
SEGURIDAD SOCIAL,Chuquisaca,2007,0
SEGURIDAD SOCIAL,Cochabamba,2007,13.9
SEGURIDAD SOCIAL,La Paz,2007,27.9
SEGURIDAD SOCIAL,Oruro,2007,0
TRANSPORTE,Beni,2007,11.1
TRANSPORTE,Pando,2007,0
TRANSPORTE,Oruro,2007,7
OTROS,Beni,2007,102.9
OTROS,Chuquisaca,2007,79.5
OTROS,Cochabamba,2007,165.6
OTROS,La Paz,2007,29.9
OTROS,Oruro,2007,51.1
OTROS,Pando,2007,20.4
OTROS,Potosí,2007,31.4
OTROS,Santa Cruz,2007,82.6
OTROS,Tarija,2007,289.3
AGROPECUARIO,Beni,2008,5.7
AGROPECUARIO,Potosí,2008,77.7
AGROPECUARIO,Santa Cruz,2008,1.7
CAMINOS,Beni,2008,4.3
CAMINOS,Chuquisaca,2008,125.6
CAMINOS,Cochabamba,2008,29.8
CAMINOS,La Paz,2008,149.8
CAMINOS,Pando,2008,5.9
CAMINOS,Potosí,2008,230.1
CAMINOS,Santa Cruz,2008,125.2
ELECTRIFICACIÓN,Beni,2008,15.3
ELECTRIFICACIÓN,Chuquisaca,2008,6.1
ELECTRIFICACIÓN,Cochabamba,2008,11.2
ELECTRIFICACIÓN,La Paz,2008,58.6
ELECTRIFICACIÓN,Pando,2008,6.2
ELECTRIFICACIÓN,Potosí,2008,22.3
ELECTRIFICACIÓN,Santa Cruz,2008,33.3
FORTALECIMIENTO,Cochabamba,2008,0
FORTALECIMIENTO,La Paz,2008,0
FORTALECIMIENTO,Oruro,2008,0
FORTALECIMIENTO,Pando,2008,5.8
FORTALECIMIENTO,Potosí,2008,0.3
FORTALECIMIENTO,Santa Cruz,2008,0
RIEGO,Chuquisaca,2008,118.3
RIEGO,Cochabamba,2008,85.2
RIEGO,La Paz,2008,0
