dept,muni_rel,muni_code,muni_name,year,agro_strict_bob,p10_agropecuario_bob,p12_microriegos_bob,p18_caminos_vecinales_bob,p32_recursos_hidricos_bob,rural_infra_bob,rural_total_bob,total_presupuesto_bob,agro_strict_bob_mm,p10_agropecuario_bob_mm,p12_microriegos_bob_mm,p18_caminos_vecinales_bob_mm,p32_recursos_hidricos_bob_mm,rural_infra_bob_mm,rural_total_bob_mm,total_presupuesto_bob_mm,agro_share_pct,p10_share_pct
Beni,303,1801,Trinidad,2012,14476775,13993956,482819,1216108,,19672212,197002253,340805241,14.476775,13.993956,0.482819,1.216108,,19.672212,197.002253,340.805241,4.24781466315537,4.10614460004739
Beni,303,1801,Trinidad,2013,25349999,22661800,2688199,2660000,,26967353,275077673,458751463,25.349999,22.6618,2.688199,2.66,,26.967353,275.077673,458.751463,5.5258677180502,4.93988615356198
Beni,303,1801,Trinidad,2014,11259531,9183023,2076508,2618298,,32662981,294531396,535763971,11.259531,9.183023,2.076508,2.618298,,32.662981,294.531396,535.763971,2.10158420675137,1.71400532642386
Beni,303,1801,Trinidad,2015,12489235,10040119,2449116,3970939,,39123967,348311122,619140121,12.489235,10.040119,2.449116,3.970939,,39.123967,348.311122,619.140121,2.0171903865361,1.62162306390091
Beni,303,1801,Trinidad,2016,10837789,9200660,1637129,3242920,,44134033,272541876,435175192,10.837789,9.20066,1.637129,3.24292,,44.134033,272.541876,435.175192,2.49044274564254,2.11424276225746
Beni,303,1801,Trinidad,2017,2831835,1991023,840812,1919433,,34356810,211431654,347019527,2.831835,1.991023,0.840812,1.919433,,34.35681,211.431654,347.019527,0.81604485617318,0.573749557326784
Beni,303,1801,Trinidad,2018,3918073,2529834,1388239,3506011,,36215438,235095061,373851374,3.918073,2.529834,1.388239,3.506011,,36.215438,235.095061,373.851374,1.04802958407744,0.676695118953876
Beni,303,1801,Trinidad,2019,2837465,1448226,1389239,3206011,,44141941,279531639,430882377,2.837465,1.448226,1.389239,3.206011,,44.141941,279.531639,430.882377,0.658524263571819,0.336107039253546
Beni,303,1801,Trinidad,2020,3774932,2066774,1708158,3128876,,43089792,265503408,403543334,3.774932,2.066774,1.708158,3.128876,,43.089792,265.503408,403.543334,0.935446501515002,0.51215664486729
Beni,303,1801,Trinidad,2021,2725326,1415455,1309871,2652791,,40497054,236081653,357603428,2.725326,1.415455,1.309871,2.652791,,40.497054,236.081653,357.603428,0.762108466141438,0.395816955088026
Beni,304,1802,San Javier del departamento del Beni,2012,213198,213198,,287890,,752600,1090092,7702703,0.213198,0.213198,,0.28789,,0.7526,1.090092,7.702703,2.76783357738186,2.76783357738186
Beni,304,1802,San Javier del departamento del Beni,2013,125000,125000,,116000,,344600,542894,7988235,0.125,0.125,,0.116,,0.3446,0.542894,7.988235,1.56480123581742,1.56480123581742
Beni,304,1802,San Javier del departamento del Beni,2014,447500,447500,,899770,,1725133,2267648,15583047,0.4475,0.4475,,0.89977,,1.725133,2.267648,15.583047,2.8717105197719,2.8717105197719
Beni,304,1802,San Javier del departamento del Beni,2015,929613,929613,,648000,,3129213,4299832,24118699,0.929613,0.929613,,0.648,,3.129213,4.299832,24.118699,3.8543248124619,3.8543248124619
Beni,304,1802,San Javier del departamento del Beni,2016,596700,596700,,189387,,410187,1106788,13043981,0.5967,0.5967,,0.189387,,0.410187,1.106788,13.043981,4.57452368260886,4.57452368260886
Beni,304,1802,San Javier del departamento del Beni,2017,347468,347468,,282000,,595100,998568,10801159,0.347468,0.347468,,0.282,,0.5951,0.998568,10.801159,3.21695106978797,3.21695106978797
Beni,304,1802,San Javier del departamento del Beni,2018,60000,60000,,1588226,,1809226,1931226,10845888,0.06,0.06,,1.588226,,1.809226,1.931226,10.845888,0.553205048770557,0.553205048770557
Beni,304,1802,San Javier del departamento del Beni,2019,90000,90000,,1468541,,1617541,1754541,14246666,0.09,0.09,,1.468541,,1.617541,1.754541,14.246666,0.631726749261897,0.631726749261897
Beni,304,1802,San Javier del departamento del Beni,2020,60000,60000,,1238216,,1424216,1530216,16951088,0.06,0.06,,1.238216,,1.424216,1.530216,16.951088,0.353959580647567,0.353959580647567
