muni_key,year,dept,muni_rel,muni_code,muni_name,agro_strict_bob_mm,p10_agropecuario_bob_mm,rural_total_bob_mm,total_presupuesto_bob_mm,agro_share_pct,p10_share_pct,area_antropico_ha,area_natural_ha,area_total_ha,antropico_share_pct,natural_share_pct,lc_antrop_1985_kha,lc_antrop_2024_kha,lc_change_antrop_ha,lc_change_antrop_pp,gasto_agrop_por_ha_antrop,gasto_por_ha_natural
3401 GAIOC DE LA NACI ON ORIGINARIA URU CHIPAYA,2012,Oruro,194,1433,3401 GAIOC de la Nación Originaria Uru Chipaya,0.307497,0.307497,0.84627,6.036991,5.09354743116231,5.09354743116231,,,,,,,,,,,
3401 GAIOC DE LA NACI ON ORIGINARIA URU CHIPAYA,2013,Oruro,194,1433,3401 GAIOC de la Nación Originaria Uru Chipaya,0.325258,0.050041,1.901098,7.711146,4.2180241432337,0.648943749735772,,,,,,,,,,,
3401 GAIOC DE LA NACI ON ORIGINARIA URU CHIPAYA,2014,Oruro,194,1433,3401 GAIOC de la Nación Originaria Uru Chipaya,,,0.750317,5.439325,,,,,,,,,,,,,
3401 GAIOC DE LA NACI ON ORIGINARIA URU CHIPAYA,2015,Oruro,194,1433,3401 GAIOC de la Nación Originaria Uru Chipaya,,,0.219612,4.319951,,,,,,,,,,,,,
3401 GAIOC DE LA NACI ON ORIGINARIA URU CHIPAYA,2016,Oruro,194,1433,3401 GAIOC de la Nación Originaria Uru Chipaya,0.01,0.01,0.50806,4.81365,0.20774256541294,0.20774256541294,,,,,,,,,,,
3401 GAIOC DE LA NACI ON ORIGINARIA URU CHIPAYA,2017,Oruro,194,1433,3401 GAIOC de la Nación Originaria Uru Chipaya,,,0.404976,4.182851,,,,,,,,,,,,,
3401 GAIOC DE LA NACI ON ORIGINARIA URU CHIPAYA,2018,Oruro,194,1433,3401 GAIOC de la Nación Originaria Uru Chipaya,,,0.371218,4.111387,,,,,,,,,,,,,
3401 GAIOC DE LA NACI ON ORIGINARIA URU CHIPAYA,2019,Oruro,194,1433,3401 GAIOC de la Nación Originaria Uru Chipaya,0.01,,0.368316,4.99847,0.200061218732932,,,,,,,,,,,,
3401 GAIOC DE LA NACI ON ORIGINARIA URU CHIPAYA,2020,Oruro,194,1433,3401 GAIOC de la Nación Originaria Uru Chipaya,0.03,0.03,0.418324,4.885385,0.61407647503728,0.61407647503728,,,,,,,,,,,
3401 GAIOC DE LA NACI ON ORIGINARIA URU CHIPAYA,2021,Oruro,194,1433,3401 GAIOC de la Nación Originaria Uru Chipaya,,,0.315583,3.840415,,,,,,,,,,,,,
3701 GAIOC DE CHARAGUA IYAMBAE,2012,Santa Cruz,340,1719,3701 GAIOC de Charagua Iyambae,0.506101,0.358893,4.576659,31.640187,1.59955122894817,1.1342948131122,,,,,,,,,,,
3701 GAIOC DE CHARAGUA IYAMBAE,2013,Santa Cruz,340,1719,3701 GAIOC de Charagua Iyambae,0.47794,0.304932,7.366458,40.355983,1.18431014305859,0.755605432780562,,,,,,,,,,,
3701 GAIOC DE CHARAGUA IYAMBAE,2014,Santa Cruz,340,1719,3701 GAIOC de Charagua Iyambae,1.666285,1.514285,10.317227,57.889848,2.8783716965365,2.61580406982585,,,,,,,,,,,
3701 GAIOC DE CHARAGUA IYAMBAE,2015,Santa Cruz,340,1719,3701 GAIOC de Charagua Iyambae,2.149862,1.994862,11.586319,66.039696,3.25540868631497,3.02070136725039,,,,,,,,,,,
3701 GAIOC DE CHARAGUA IYAMBAE,2016,Santa Cruz,340,1719,3701 GAIOC de Charagua Iyambae,1.841242,1.645242,14.798594,64.525746,2.85349974876695,2.54974502735699,,,,,,,,,,,
3701 GAIOC DE CHARAGUA IYAMBAE,2017,Santa Cruz,340,1719,3701 GAIOC de Charagua Iyambae,0.336986,,4.203583,37.107077,0.908144826389855,,,,,,,,,,,,
3701 GAIOC DE CHARAGUA IYAMBAE,2018,Santa Cruz,340,1719,3701 GAIOC de Charagua Iyambae,0.40861,,4.284722,43.460511,0.940186828452155,,,,,,,,,,,,
3701 GAIOC DE CHARAGUA IYAMBAE,2019,Santa Cruz,340,1719,3701 GAIOC de Charagua Iyambae,0.192572,,4.182731,43.483382,0.442863436887223,,,,,,,,,,,,
3701 GAIOC DE CHARAGUA IYAMBAE,2020,Santa Cruz,340,1719,3701 GAIOC de Charagua Iyambae,0.073425,0.073425,4.168224,40.850747,0.179739675262242,0.179739675262242,,,,,,,,,,,
3701 GAIOC DE CHARAGUA IYAMBAE,2021,Santa Cruz,340,1719,3701 GAIOC de Charagua Iyambae,0.726851,0.472433,3.692957,38.842995,1.87125374858453,1.21626306107446,,,,,,,,,,,
ACASIO,2012,Potosí,230,1534,Acasio,0.562757,0.126337,0.981757,10.948244,5.14015763623829,1.15394761022864,3137.75782620235,31334.4608400155,34472.2186662179,9.10227988683913,90.8977201131609,1.37937650300294,10.7291628351198,9349.78633211688,27.1226706428375,179.350042664417,17.9596835213879
ACASIO,2013,Potosí,230,1534,Acasio,0.624849,0.160277,2.376679,16.249633,3.84531146026498,0.986342276160945,2958.36611639398,31513.8525498238,34472.2186662178,8.58188486513962,91.4181151348604,1.37937650300294,10.7291628351198,9349.78633211688,27.1226706428375,211.21422278918,19.8277566670754
ACASIO,2014,Potosí,230,1534,Acasio,0.336244,0.143781,1.026277,14.220491,2.36450344787673,1.01108323193623,2953.7716695495,31518.4469966682,34472.2186662177,8.56855689548104,91.4314431045189,1.37937650300294,10.7291628351198,9349.78633211688,27.1226706428375,113.835474646313,10.6681652187858
ACASIO,2015,Potosí,230,1534,Acasio,1.612355,0.190102,2.15508,19.069829,8.45500502390451,0.996873123508344,3108.82212164301,31363.3965445748,34472.2186662178,9.01834068687202,90.981659313128,1.37937650300294,10.7291628351198,9349.78633211688,27.1226706428375,518.638550843774,51.4088133824557
ACASIO,2016,Potosí,230,1534,Acasio,0.412739,0.406252,1.42068,15.597574,2.64617433454715,2.60458453346655,3302.86530250848,31169.3533637094,34472.2186662179,9.58123796582094,90.4187620341791,1.37937650300294,10.7291628351198,9349.78633211688,27.1226706428375,124.963921382604,13.2418210664759
ACASIO,2017,Potosí,230,1534,Acasio,1.410278,0.118,1.810279,12.902797,10.9300177318143,0.914530392131257,3403.20256832271,31069.0160978951,34472.2186662178,9.87230500384875,90.1276949961512,1.37937650300294,10.7291628351198,9349.78633211688,27.1226706428375,414.397313027142,45.3917818174984
ACASIO,2018,Potosí,230,1534,Acasio,0.1,0.1,0.445,10.119904,0.988151666260866,0.988151666260866,3372.31885487054,31099.8998113471,34472.2186662177,9.78271485082962,90.2172851491704,1.37937650300294,10.7291628351198,9349.78633211688,27.1226706428375,29.6531865175124,3.21544444215585
ACASIO,2019,Potosí,230,1534,Acasio,0.178875,0.115,0.533875,12.961825,1.3800140026578,0.887220742449462,3391.56600012199,31080.6526660956,34472.2186662176,9.83854863814056,90.1614513618594,1.37937650300294,10.7291628351198,9349.78633211688,27.1226706428375,52.7411231252956,5.7551880239351
ACASIO,2020,Potosí,230,1534,Acasio,0.202456,0.202456,1.538517,15.933817,1.27060578140191,1.27060578140191,3950.83244765621,30521.3862185614,34472.2186662177,11.4609172270306,88.5390827729694,1.37937650300294,10.7291628351198,9349.78633211688,27.1226706428375,51.2438840883027,6.63325048705937
ACASIO,2021,Potosí,230,1534,Acasio,0.493296,0.125908,0.929306,10.840663,4.5504227924067,1.16144187860097,3990.15055349118,30482.0681127265,34472.2186662177,11.574974596577,88.425025403423,1.37937650300294,10.7291628351198,9349.78633211688,27.1226706428375,123.628417872201,16.1831539177634
ACHACACHI,2012,La Paz,53,1224,Achacachi,2.002087,1.912087,14.248704,106.606601,1.87801410158457,1.79359156193339,19035.1935891841,52549.6880163301,71584.8816055142,26.5910806335926,73.4089193664074,13.8961161279542,35.3768394819523,21480.7233539981,30.0073463449549,105.178179072347,38.0989321835334
ACHACACHI,2013,La Paz,53,1224,Achacachi,3.047204,1.516544,20.539066,126.060962,2.4172463478424,1.20302429549919,21930.4444589785,49654.437146536,71584.8816055145,30.6355810991368,69.3644189008632,13.8961161279542,35.3768394819523,21480.7233539981,30.0073463449549,138.948574694867,61.3682114854579
ACHACACHI,2014,La Paz,53,1224,Achacachi,0.578049,,28.32986,149.647536,0.3862736503727,,25341.8792339157,46243.0023716063,71584.881605522,35.4011610629818,64.5988389370182,13.8961161279542,35.3768394819523,21480.7233539981,30.0073463449549,22.810028990525,12.5002480452032
ACHACACHI,2015,La Paz,53,1224,Achacachi,7.608015,7.381473,19.043386,125.053518,6.08380725442686,5.90265121529808,34273.147439139,37311.7341663827,71584.8816055218,47.8776337551355,52.1223662448645,13.8961161279542,35.3768394819523,21480.7233539981,30.0073463449549,221.981801161099,203.904084599067
ACHACACHI,2016,La Paz,53,1224,Achacachi,6.008903,5.408903,30.075056,133.707652,4.4940606690184,4.04532045779998,34757.5615042935,36827.3201012271,71584.8816055206,48.5543325975313,51.4456674024687,13.8961161279542,35.3768394819523,21480.7233539981,30.0073463449549,172.880453631873,163.164275420621
ACHACACHI,2017,La Paz,53,1224,Achacachi,1.706001,1.25,22.602718,117.471191,1.45227181701086,1.06409068415762,32886.5614569576,38698.3201485602,71584.8816055179,45.9406521591882,54.0593478408119,13.8961161279542,35.3768394819523,21480.7233539981,30.0073463449549,51.8753230626692,44.0846267603032
ACHACACHI,2018,La Paz,53,1224,Achacachi,1.414653,1.279156,6.961349,60.713806,2.33003511590099,2.10686182315765,35181.8864232202,36402.9951823009,71584.8816055211,49.14709032711,50.85290967289,13.8961161279542,35.3768394819523,21480.7233539981,30.0073463449549,40.2096971999297,38.8608957289263
ACHACACHI,2019,La Paz,53,1224,Achacachi,0.329445,0.1,20.119032,93.907366,0.350819125306954,0.106487919169195,35558.1422791418,36026.7393263795,71584.8816055213,49.6726983151136,50.3273016848864,13.8961161279542,35.3768394819523,21480.7233539981,30.0073463449549,9.26496658384907,9.14445787101177
