dept,year,actividad,constante_chain2017_mm,corriente_bob_mm
BENI,2017,Actividad extractiva,100,570.329306338084
BENI,2017,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",100,385.424912245055
BENI,2017,Actividades de alojamiento y de servicio de comidas y bebidas,100,576.166670834182
BENI,2017,Actividades de atencion de la salud humana y de asistencia social,100,508.590179162099
BENI,2017,Actividades financieras y de seguros,100,254.014460096694
BENI,2017,"Actividades inmobiliarias, empresariales y de alquiler",100,1098.99301817881
BENI,2017,Administracion publica,100,332.123121361772
BENI,2017,"Agricultura, ganaderia, silvicultura y pesca",100,1316.33452352265
BENI,2017,Comercio; reparacion de vehículos automotores y motocicletas,100,646.10497997302
BENI,2017,Comunicación e informaciones,100,230.660218158684
BENI,2017,Construcción,100,723.065353527287
BENI,2017,Enseñanza,100,995.315563093309
BENI,2017,Impuestos netos de subvenciones a los productos,100,808.914268274945
BENI,2017,Industrias manufactureras,100,1115.58920444153
BENI,2017,PRODUCTO  INTERNO  BRUTO(1),100,10381.2566473099
BENI,2017,"Suministro de electricidad, agua y recolección de desechos sólidos",100,135.107825598383
BENI,2017,Transporte y almacenamiento,100,684.523042503439
BENI,2017,VALOR AGREGADO BRUTO,100,9572.34237903499
BENI,2018,Actividad extractiva,124.697989997083,711.189181367899
BENI,2018,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",111.807454655711,430.933783990204
BENI,2018,Actividades de alojamiento y de servicio de comidas y bebidas,103.314396234055,595.26311727419
BENI,2018,Actividades de atencion de la salud humana y de asistencia social,109.621852739873,557.525977250531
BENI,2018,Actividades financieras y de seguros,104.953757455174,266.597720350954
BENI,2018,"Actividades inmobiliarias, empresariales y de alquiler",92.1322109527966,1012.52656586501
BENI,2018,Administracion publica,102.019120829299,338.829088484105
BENI,2018,"Agricultura, ganaderia, silvicultura y pesca",103.152837965208,1357.83641812941
BENI,2018,Comercio; reparacion de vehículos automotores y motocicletas,123.033286305358,794.924189843384
BENI,2018,Comunicación e informaciones,103.307543340372,238.289404843279
BENI,2018,Construcción,92.3672390230054,667.875503385088
BENI,2018,Enseñanza,107.740484121371,1072.35780621208
BENI,2018,Impuestos netos de subvenciones a los productos,107.355539267339,868.414274917017
BENI,2018,Industrias manufactureras,130.301234189029,1453.62650186688
BENI,2018,PRODUCTO  INTERNO  BRUTO(1),108.173325244495,11229.7505175603
BENI,2018,"Suministro de electricidad, agua y recolección de desechos sólidos",108.813317498447,147.015307233616
BENI,2018,Transporte y almacenamiento,104.678094389071,716.545676546691
BENI,2018,VALOR AGREGADO BRUTO,108.242432545417,10361.3362426433
BENI,2019,Actividad extractiva,123.538948485561,704.578827955063
BENI,2019,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",112.898132881585,435.137529585154
BENI,2019,Actividades de alojamiento y de servicio de comidas y bebidas,104.842698728988,604.068686879523
BENI,2019,Actividades de atencion de la salud humana y de asistencia social,117.186104038446,595.997016482214
BENI,2019,Actividades financieras y de seguros,109.903693459801,279.17127356824
BENI,2019,"Actividades inmobiliarias, empresariales y de alquiler",105.037877099794,1154.35893576998
BENI,2019,Administracion publica,114.873191240896,381.520428357142
BENI,2019,"Agricultura, ganaderia, silvicultura y pesca",109.305335832045,1438.82387160958
BENI,2019,Comercio; reparacion de vehículos automotores y motocicletas,121.457086629609,784.740285244049
BENI,2019,Comunicación e informaciones,104.947604088551,242.072372542963
BENI,2019,Construcción,135.570555237393,980.263714506164
BENI,2019,Enseñanza,105.196814901373,1047.04027059183
BENI,2019,Impuestos netos de subvenciones a los productos,119.056476263682,963.064823802299
BENI,2019,Industrias manufactureras,129.115661309062,1440.40037880718
BENI,2019,PRODUCTO  INTERNO  BRUTO(1),115.673432431005,12008.3558934153
BENI,2019,"Suministro de electricidad, agua y recolección de desechos sólidos",128.562022448169,173.697353075027
BENI,2019,Transporte y almacenamiento,116.429919864827,796.989629843026
BENI,2019,VALOR AGREGADO BRUTO,115.406392003522,11047.0949698684
BENI,2020,Actividad extractiva,113.460567619639,647.09886827234
BENI,2020,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",92.1835304094933,355.298291185183
BENI,2020,Actividades de alojamiento y de servicio de comidas y bebidas,77.7736270130688,448.105717548193
BENI,2020,Actividades de atencion de la salud humana y de asistencia social,136.142515988824,692.407465983352
BENI,2020,Actividades financieras y de seguros,107.077592467773,271.992568391554
BENI,2020,"Actividades inmobiliarias, empresariales y de alquiler",97.7080914162058,1073.80510285987
BENI,2020,Administracion publica,101.746114893858,337.922372649816
BENI,2020,"Agricultura, ganaderia, silvicultura y pesca",113.86345422715,1498.82395766738
BENI,2020,Comercio; reparacion de vehículos automotores y motocicletas,101.973108295536,658.853330930738
BENI,2020,Comunicación e informaciones,96.3732438524996,222.294734516776
BENI,2020,Construcción,94.2992613476917,681.845287437307
BENI,2020,Enseñanza,105.449593894994,1049.55621925557
BENI,2020,Impuestos netos de subvenciones a los productos,91.6554141306071,741.413722548971
BENI,2020,Industrias manufactureras,110.567925231527,1233.48383745789
BENI,2020,PRODUCTO  INTERNO  BRUTO(1),102.89694446655,10681.9958873125
BENI,2020,"Suministro de electricidad, agua y recolección de desechos sólidos",118.570933644594,160.198610238913
BENI,2020,Transporte y almacenamiento,84.2486695815596,576.701556288361
BENI,2020,VALOR AGREGADO BRUTO,103.721381538241,9928.56576110558
BENI,2021,Actividad extractiva,105.796307803924,603.387348429425
BENI,2021,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",111.564869038325,429.998798587274
BENI,2021,Actividades de alojamiento y de servicio de comidas y bebidas,95.7706186006059,551.798384828413
BENI,2021,Actividades de atencion de la salud humana y de asistencia social,142.400713735822,724.236045117123
BENI,2021,Actividades financieras y de seguros,107.528835528861,273.138791016898
