year,cpi_2015base,bob_per_usd,inv_agro_usd_mm,inv_agro_bob_mm_current,inv_agro_bob_mm_2015,inv_agro_pct_gdp,inv_agro_pct_total,inv_pub_total_usd_mm,emapa_bob_mm,emapa_bob_mm_2015,tfp_index,tfp_output,tfp_input,agr_value_added_pct_gdp,cereal_yield_kg_ha.x,undernourishment_pct,agr_employment_pct,gdp_current_usd,gdp_per_capita_usd,cpi_index,cpi_2010base,gdp_deflator,inflation_cpi,inv_productivos_usd_mm,inv_hidrocarb_usd_mm,inv_infraestr_usd_mm,inv_sociales_usd_mm,inv_multisec_usd_mm,agr_food_prod_index,rural_pop_pct,gdp_per_capita_const2015,agr_gdp_usd,aper_agro_spend_bob_current_aper,aper_agro_spend_bob_2015,aper_agro_spend_usd,aper_agro_spend_usd_2015,aper_spend_administracion_general,aper_spend_fomento_produccion,aper_spend_investigacion_extension,aper_spend_riego_agua,aper_spend_sanidad_inocuidad,aper_agro_spend_pct_gdp,tfp_per_mbob,PSE_BOB_mm,MPS_BOB_mm,GSSE_BOB_mm,CSE_BOB_mm,TSE_BOB_mm,GDP_BOB_mm,PSEP_pct,GSSEP_pct,TSEP_pct,CSEP_pct,NPC_producer,NAC_producer,bob_per_usd_idb,PSE_USD_mm,MPS_USD_mm,GSSE_USD_mm,CSE_USD_mm,TSE_USD_mm,GDP_USD_mm,BT_BOB_mm_agg,GHG_total_GgCO2e,GSSE_pct_total_support,PSE_BOB_2015,MPS_BOB_2015,BT_agg_BOB_2015,GSSE_BOB_2015,TSE_BOB_2015,CSE_BOB_2015,mun_p10_agropecuario_bob_mm,mun_p10_corriente_bob_mm,mun_p10_inversion_bob_mm,mun_p10_pct_presup_total,mun_agro_strict_bob_mm,mun_rural_infra_bob_mm,mun_rural_total_bob_mm,mun_p10_agropecuario_bob_mm_2015,mun_agro_strict_bob_mm_2015,mun_rural_infra_bob_mm_2015,mun_rural_total_bob_mm_2015,lc_antropico,lc_natural,lc_no_definido,lc_total_ha,lc_antropico_share,lc_natural_share,lc_antropico_delta_ha,lc_natural_delta_ha,precip_nacional_mm,gasto_usd_por_ha_antrop,lc_antrop_growth_pct,precip_interp_mm,precip_fuente,cereal_yield_kg_ha.y,cereal_prod_ton,defor_nacional_ha,all_meat_prod_ton,cereals_prod_ton,use_of_pesticides_per_area_of_cropland
1990,,,35,,,,11.1111111111111,315,,,76.5693,37.1413,48.5067,,,,,,,,,,,162,101,91,58,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5267969.27512267,103118680.845649,846.017305285649,108387496.138077,4.8603108871633,95.1389085640323,215311.079704379,-215307.777161226,977.1,6.64392637316303,,977.1,interpolado,1427.5709438259,684815,,264844.1,792648,1.09
1991,,,51,,,,12.1428571428571,420,,,74.9449,38.8666,51.8602,,,,,,,,,,,226,118,125,37,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5331513.4463617,103055140.581799,842.109915753178,108387496.138077,4.91893773389671,95.0802853223176,63544.1712390371,-63540.2638498992,977.1,9.56576411427848,1.20623655758807,977.1,interpolado,1747.88795250851,857564,,249167.6,902497,0.74
1992,,,55,,,,10.3383458646617,532,,,72.3642,38.0079,52.523,,,,,,,,,,,249,117,190,85,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5511251.78573416,102875398.40438,845.947956994633,108387496.138071,5.0847671383732,94.9144523768042,179738.339372456,-179742.177419439,977.1,9.97958397443701,3.37124422888049,977.1,interpolado,1564.08827123112,857022,,247425.12,952128,0.4
1993,,,38,,,,7.9002079002079,481,,,73.5362,40.7204,55.3746,,,,,,,,,,,173,95,215,85,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5577566.63166433,102809081.944843,847.561567639164,108387496.138075,5.14595025293234,94.8532677735026,66314.8459301666,-66316.4595364779,977.1,6.81300690954918,1.20326286129445,977.1,interpolado,1683.32773235581,997216,,271619,1113756,0.55
1994,,,14,,,,2.51346499102334,557,,,78.4827,43.6025,55.5568,,,,,,,,,,,168,111,220,140,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5760785.67223427,102625865.678499,844.78734407349,108387496.138077,5.3149910067998,94.6842295791772,183219.040569941,-183216.266345009,977.1,2.43022406951832,3.28492786674731,977.1,interpolado,1682.40544899065,942942,,298055.22,956890,0.66
1995,,,19,,,,2.82317979197623,673,,,82.5759,47.1814,57.137,,,,,,,,,,,160,74,230,237,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5915445.57102555,102471206.182599,844.384452233891,108387496.138077,5.45768264956482,94.5415383081265,154659.898791283,-154659.495899633,977.1,3.21193049143482,2.68470149022746,977.1,interpolado,1815.45920698644,1028035,,313285.7,1089553.1,0.73
1996,,,21,,,,2.85714285714286,735,,,83.414,49.0852,58.8453,,,,,,,,,,,133,67,252,298,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6230344.27728819,102156307.41034,844.450446923832,108387496.138075,5.74821312354274,94.2510077732608,314898.706262638,-314898.772259191,977.1,3.37060025343261,5.32333029662285,977.1,interpolado,1990.06989869126,1125055,,329167,1138597.6,0.83
1997,,,33,,,,4.6218487394958,714,,,81.9813,50.4016,61.4794,,,,,,,,,,,104,35,234,319,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6372841.43049575,102013820.186407,834.521174444584,108387496.138077,5.87968322690772,94.119546830798,142497.153207559,-142487.223933101,977.1,5.17822393039409,2.28714733673726,977.1,interpolado,1866.34269343835,1145135,,346489.7,944951.9,0.89
1998,,,53,,,,10.4950495049505,505,,,83.0892,52.1198,62.7276,,,,,,,,,,,78,2,162,245,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6537407.27794097,101849260.59866,828.261476269536,108387496.138077,6.03151425291054,93.9677215800907,164565.847445219,-164559.587746948,977.1,8.10718955492291,2.58229942232247,977.1,interpolado,1683.32743340808,1018209,,376394.7,1157807.1,0.97
1999,,,42,,,,7.90960451977401,531,,,81.9289,52.709,64.335,,,,,,,,,,,64,3,166,265,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6730999.28798585,101655674.643088,822.207003063969,108387496.138077,6.21012527073334,93.7891161482196,193592.010044882,-193585.955571458,977.1,6.23978672453075,2.9612964561366,977.1,interpolado,1633.167964831,1106415,,382982,1137351,1.06
2000,46.8610780878348,6.18354166666666,53,327.727708333333,699.360154964962,0.631113503871606,9.09090909090909,583,0,0,83.1899,54.3575,65.3415,12.9658118842238,1641.9,,36.6099584812135,8397855484.76909,975.777060358751,46.8610780878348,62.6303680784417,41.4358622611468,4.60822998872598,75,0,190,285,34,54.71,38.1412798424409,2014.19024658446,1088850144.46413,52269704.08,111541830.049295,8453036.60873961,18038502.2147709,18494969.02,7376906.59,16236623.08,10161205.39,0,0.214798912025657,0.118951443557959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6866937.14925681,101519713.396467,845.592345874028,108387496.13807,6.33554366871741,93.6636761745523,135937.86127096,-135961.246620953,977.14120655355,7.71814257914623,2.01957919552295,977.1,CHIRPS_TIF,1718.96873281405,1054398,,384972,1244321.8,1.14
2001,47.6060069864424,6.60691666666666,59,389.808083333333,818.821211878462,0.72468067706434,9.23317683881064,639,0,0,77.6439,55.1181,70.9883,13.2556536661742,1784.9,26.6,41.7594305497931,8141516928.39489,930.168227214312,47.6060069864424,63.6259740912743,42.2107516933338,1.58965377879567,83,0,214,295,47,55.36,37.6625189620995,2013.84581083123,1079211287.20097,76186792.43,160036090.512059,11531368.7569845,24222507.8029932,26595830.78,8469798.46,29973868.4,11147294.79,0,0.297518361946938,0.0948239968306106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7051182.45260194,101335502.350004,811.335471453864,108387496.138077,6.50553126868,93.4937201805182,184245.303345135,-184211.046463251,982.5,8.36739091586384,2.68307834104867,982.5,interpolado,1911.14286165908,1165090,140282.744064875,382827,1324781,1.24
2002,48.0479139601927,7.17,54,387.18,805.820623806428,0.683070033017433,9.23076923076923,585,0,0,78.8467,57.4987,72.9246,12.955118631021,1712.4,25.8,39.689843392934,7905485146.44352,888.221328974352,48.0479139601927,64.2165878277003,43.4014145941989,0.928258851611069,76,0,209,251,48,57.97,37.1812367914945,2029.66993638623,1024164979.0795,58929267.85,122646880.983891,8218865.80892608,17105562.2013796,26042579.19,8827607.96,18121206.15,5937874.55,0,0.216375869216261,0.0978464656657142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7144526.27851492,101242131.562778,838.29678468018,108387496.138077,6.59165174312482,93.4075748311438,93343.825912972,-93370.7872263342,987.8,7.55823379954376,1.32380386609522,987.8,interpolado,1869.95966438121,1196802,178781.573216043,403950,1315565.2,1.29
2003,49.6514049792295,7.65916666666666,41,314.025833333333,632.461122630263,0.507275089435172,8.2,500,0,0,86.9796,60.3129,69.3415,13.4272369562791,1963.3,26.6,32.7285535078715,8082399639.54305,893.013760211149,49.6514049792295,66.3596719570179,46.1487207928583,3.33727499671533,62,0,214,187,36,60.84,36.7081288909526,2050.07133411879,1085242951.35489,63439550.83,127769900.683653,8282826.78663911,16681958.5268615,27989278.91,13561757.29,11277989.6,10610525.03,0,0.206398585455305,0.137525607326299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7396300.69953475,100990345.361071,850.077471948246,108387496.138077,6.82394276375979,93.1752729414625,251774.421019829,-251786.20170705,993.2,5.54331167235792,3.52401840520857,993.2,interpolado,2156.07836693645,1359228,163743.570460327,416889.2,1462502,1.3
2004,51.8546268912131,7.93626666666666,49,388.877066666666,749.937064406036,0.558503099895146,8.13953488372093,602,0,0,83.9078,60.5721,72.1888,13.3223836388477,1618.7,27.2,32.7286960150389,8773451751.5121,953.191893246277,51.8546268912131,69.3043033000566,49.825716807865,4.43738080101724,73,0,279,221,29,60.88,36.2435328387748,2099.990810637,1168832900.70565,69091703.28,133241154.014952,8705819.27018582,16788895.7883159,34383617.61,18094896.84,14789163.45,1824025.38,0,0.191360211052878,0.111886455520713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7471783.24969848,100914860.960271,851.92810534058,108387496.138075,6.89358414570271,93.1056298520962,75482.5501637338,-75484.4007993341,998.5,6.55800608268145,1.02054463751699,998.5,interpolado,1812.01929982918,1237921,203383.686895102,448892.2,1255985,1.71
2005,54.6512667393757,8.06606249999999,57,459.765562499999,841.271556783044,0.596913460692744,9.06200317965024,629,0,0,81.5449,64.3316,78.891,11.7927215329112,1927,27.6,36.1513053363708,9549122905.32852,1020.12326200737,54.6512667393757,73.0420445177246,52.7857618112263,5.39323106890663,92,4,306,194,38,64.82,35.7866937794741,2156.18670325307,1126101473.06083,94383141.72,172700739.344433,11701265.8555522,21410786.1604635,24605847.27,34226885.82,29227278.26,6323130.37,0,0.224217306371834,0.0969305325284279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7597186.81268736,100789471.294257,838.031130328373,108387496.138075,7.00928343524913,92.9899433841164,125403.562988879,-125389.666014314,1003.87622301139,7.50277719968786,1.67836189565509,1003.9,CHIRPS_TIF,2340.16018509724,1719987,251038.426039673,492775.2,1659795,1.78
2006,56.9916504264186,8.01161666666666,76,608.882866666666,1068.37205469736,0.66364852693087,8.64618885096701,879,0,0,84.5739,68.2934,80.7499,10.9375480546288,2100.1,26,37.0084911917765,11451844902.2214,1202.71150446327,56.9916504264186,76.1699941455487,59.9982391480471,4.28239604802561,142,7,437,263,37,68.88,35.3368568575638,2221.42722587103,1252551039.32202,75451069.18,132389689.744841,9417708.35016654,16524715.953481,25452467.96,15125819.42,34868961.13,3820.67,0,0.144297413164194,0.079161467794061,-1169.22,-1302.18,251.0802928,1328.66,-918.136251,91747.8,-7.873531125,,-1.000717512,10.72667908,1.054672188,0.927011464,8.011533712,-145.942093240985,-162.538166449895,31.3398534944591,165.843401246615,-114.601808343486,11451.9645423917,196.571658798,,-27.346632634559,-2051.56367862968,-2284.86101079181,344.913083455605,440.556276088491,-1611.00133814408,2331.32395720917,,,,,,,,,,,,7750414.13898473,100636242.317368,839.681724267582,108387496.138077,7.15065336421404,92.8485719322877,153227.326297369,-153228.976889417,982.8,9.80592761072193,2.01689559668953,982.8,interpolado,2514.2795068103,1913904,216379.432514153,554643.2,1865967,1.88
2007,61.9531208095693,7.85124516125,83,651.65334838375,1051.84910762897,0.632616743301129,8.25870646766169,1005,0,0,87.7315,72.5445,82.6892,10.011155665672,1763.3,24.5,33.7435071194995,13120108008.3477,1354.54905949929,61.9531208095693,82.8010561907833,64.4221216308726,8.70560923578869,192,8,481,284,48,73.22,34.8932672175567,2283.4273357151,1313474436.21999,279464243.82,451089856.601435,35594894.5779075,57454562.5995479,218590448.24,34429961.73,20069817.1,5774766.75,599250,0.437912268427914,0.0834069253505007,310.1166745,165.2371857,254.8661617,-210.9556298,564.9828362,103009.18,1.86395719,45.11042555,0.548478131,-1.495228859,0.963084186,1.018993605,7.844070733,39.5351705837301,21.0652340250895,32.491568520383,-26.8936419597174,72.0267391041131,13132.1074868232,181.539512705,,45.1104255510125,500.566671133861,266.713255992227,293.027228221503,411.385509510335,911.952180644196,-340.508479707476,,,,,,,,,,,,7936100.67883341,100450558.165724,837.293518841557,108387496.138077,7.32197067152791,92.6772568283695,185686.539848688,-185684.151643097,961.7,10.4585366742349,2.39582732637062,961.7,interpolado,2355.90363270253,1859214,189985.767404899,635752.2,1733466,1.97
