dept_upper,year,agro_strict_bob,p10_agropecuario_bob,rural_infra_bob,rural_total_bob,p10_corriente_bob,p10_inversion_bob,pib_agrop_bob_2017_mm,pib_total_bob_2017_mm,pib_agrop_pct_gdp,deuda_rural_mm_bob,p10_agropecuario_bob_mm,agro_strict_bob_mm,rural_infra_bob_mm,rural_total_bob_mm,p10_corriente_bob_mm,p10_inversion_bob_mm,cpi_2015base,bob_per_usd,p10_agropecuario_bob_mm_2015,agro_strict_bob_mm_2015,rural_infra_bob_mm_2015,rural_total_bob_mm_2015,p10_agropecuario_bob_per_capita_farmers_proxy,pib_agrop_corriente_mm,pib_agrop_constante_mm,pib_total_corriente_mm,pib_total_constante_mm,pib_agrop_share_pct,ena2015_upas,ena2015_sup_ha,ena2015_sup_exp_ha,ena2015_prod_exp_ton,ena2015_riego_pct,gasto_por_pib_agrop_ratio
BENI,2012,19621078,19166407,143041036,166066094,9117025,10049382,,,,3.6,19.166407,19.621078,143.041036,166.066094,9.117025,10.049382,85.9299851602867,6.91,22.3046785871644,22.8337965651925,166.46230734613,193.257445221518,,,,,,,,,,,,
BENI,2013,24859666,24709666,213355844,247289187,13401083,11308583,,,,3.1,24.709666,24.859666,213.355844,247.289187,13.401083,11.308583,90.8592730328446,6.91,27.1955356621307,27.3606261311529,234.82010903045,272.167252439504,,,,,,,,,,,,
BENI,2014,24398269,24248267,216188237,250057365,17829267,6419000,,,,2.7,24.248267,24.398269,216.188237,250.057365,17.829267,6.419,96.0987645491769,6.91,25.2326521717055,25.3887436685147,224.96463717738,260.208719823903,,,,,,,,,,,,
BENI,2015,28153133,28103133,253350087,294498449,17725546,10377587,,,,2.1,28.103133,28.153133,253.350087,294.498449,17.725546,10.377587,100,6.91,28.103133,28.153133,253.350087,294.498449,,,,,,,827,300123.169,3906287.78900322,19945296.8592962,1.26404494382022,
BENI,2016,17374940,16314940,175899694,201768243,11343098,4971842,,,,13.8,16.31494,17.37494,175.899694,201.768243,11.343098,4.971842,103.623214317642,6.91,15.7444836154078,16.7674204225509,169.749312601716,194.713360638967,,,,,,,,,,,,
BENI,2017,11481672,11481672,105901959,123187966,7671910,3809762,1316.33452352265,10381.2566473099,12.6799150453885,12.4,11.481672,11.481672,105.901959,123.187966,7.67191,3.809762,106.548246947132,6.91,10.7760308864557,10.7760308864557,99.3934316465551,115.617074451844,8722.45754770137,1316.33452352265,100,,,,,,,,,0.00872245754770135
BENI,2018,9003970,9003970,154556982,169507943,7348970,1655000,1357.83641812941,11229.7505175603,12.091421051662,24.2,9.00397,9.00397,154.556982,169.507943,7.34897,1.655,108.969086910658,6.91,8.26286633692929,8.26286633692929,141.835621809622,155.55599097474,6631.115412565,1357.83641812941,103.152837965208,,,,,,,,,0.00663111541256501
BENI,2019,8322070,8322070,153290240,167951579,8172070,150000,1438.82387160958,12008.3558934153,11.9818556710045,22.2,8.32207,8.32207,153.29024,167.951579,8.17207,0.15,110.973622354616,6.91,7.49914242990722,7.49914242990722,138.132140546121,151.343693606136,5783.9393439381,1438.82387160958,109.305335832045,,,,,,,,,0.00578393934393811
BENI,2020,8791487,8791487,164792121,179176376,7662919,1128568,1498.82395766738,10681.9958873125,14.0313100049739,19.6,8.791487,8.791487,164.792121,179.176376,7.662919,1.128568,112.017597999241,6.91,7.8483087988189,7.8483087988189,147.112707238301,159.953774407138,5865.59012152581,1498.82395766738,113.86345422715,,,,,,,,,0.00586559012152581
BENI,2021,7595678,7595678,126287098,138040139,6733048,862630,1579.07813670348,11299.4067552496,13.9748764772085,19.6,7.595678,7.595678,126.287098,138.040139,6.733048,0.86263,112.843597532049,6.91,6.73115548079077,6.73115548079077,111.913392307555,122.328729337785,4810.19768651659,1579.07813670348,119.960246311683,,,,,,,,,0.00481019768651659
CHUQUISACA,2012,65224879,23753761,155179834,236646591,19363674,4390087,,,,229.5,23.753761,65.224879,155.179834,236.646591,19.363674,4.390087,85.9299851602867,6.91,27.6431573398875,75.9046785337329,180.588689397002,275.394660616523,,,,,,,,,,,,
CHUQUISACA,2013,68596146,30783448,174810481,275552341,24969759,5813689,,,,217.9,30.783448,68.596146,174.810481,275.552341,24.969759,5.813689,90.8592730328446,6.91,33.8803591229176,75.4971327749929,192.396961988468,303.27376810553,,,,,,,,,,,,
CHUQUISACA,2014,64980378,29935571,217056630,311101633,26269343,3666228,,,,203.7,29.935571,64.980378,217.05663,311.101633,26.269343,3.666228,96.0987645491769,6.91,31.150838557015,67.6183281906267,225.868283550019,323.731147283167,,,,,,,,,,,,
CHUQUISACA,2015,88581309,38604142,333779206,450923832,33243231,5360911,,,,187.7,38.604142,88.581309,333.779206,450.923832,33.243231,5.360911,100,6.91,38.604142,88.581309,333.779206,450.923832,,,,,,,1249,51327.0365999997,990267.006958941,7217030.05438674,18.7178608159068,
