ISO3,country,Year,Capital_Index,Capital_Q,Cropland_Q,Feed_Q,Fertilizer_Q,Input_Index,IrrigArea_Q,Labor_Index,Labor_Q,Land_Index,Materials_Index,Outall_Index,Outall_Q,Outanim_Q,Outcrop_Q,TFP_Index,country_label
BOL,Bolivia,1961,20.0992,806.8054,1442,561036.9675,12932.6761,33.4095,72,74.1469,1068.6603,35.9333,10.0897,13.9965,902263,372556,529707,41.8939,Bolivia
BOL,Bolivia,1962,21.0634,845.5084,1442,571081.8767,13288.7209,33.4128,72,72.7045,1047.8716,35.888,10.3159,14.4813,933510,383736,549774,43.3404,Bolivia
BOL,Bolivia,1963,22.0256,884.131,1442,590461.5542,13861.2517,33.9251,75,73.6859,1062.0159,35.8694,10.7101,15.3168,987374,389993,597381,45.149,Bolivia
BOL,Bolivia,1964,22.8285,916.3608,1478,481679.0758,14382.6485,34.3435,75,74.7302,1077.0674,36.4332,9.7814,15.5976,1005470,388813,616657,45.4163,Bolivia
BOL,Bolivia,1965,23.813,955.8799,1515,602365.7817,15214.3556,35.3765,75,76.3147,1099.9034,36.9963,11.3079,16.1491,1041025,399896,641129,45.6492,Bolivia
BOL,Bolivia,1966,24.7142,992.0579,1551,596405.3942,15886.0956,35.9762,75,77.1515,1111.9646,37.5443,11.4789,16.8199,1084266,419633,664633,46.7529,Bolivia
BOL,Bolivia,1967,25.7761,1034.683,1588,624005.43,17550.8484,36.2472,80,75.5239,1088.5063,38.1785,12.3209,17.2358,1111077,427096,683981,47.5507,Bolivia
BOL,Bolivia,1968,26.8052,1075.9911,1624,644913.2908,17546.8442,36.6915,80,75.4884,1087.994,38.7264,12.5368,18.3695,1184158,431709,752449,50.0647,Bolivia
BOL,Bolivia,1969,27.8384,1117.4659,1661,666150.2733,19761.251,36.4976,80,71.8456,1035.4926,39.3802,13.486,18.5565,1196216,448466,747750,50.8432,Bolivia
BOL,Bolivia,1970,28.9785,1163.2287,1697,682122.9242,19512.6281,37.138,80,72.7786,1048.9384,39.9281,13.5757,19.7087,1270490,491008,779482,53.0689,Bolivia
BOL,Bolivia,1971,30.2905,1215.895,1734,752478.6225,23315.484,37.966,80,72.8859,1050.4859,40.6726,15.5482,20.4015,1315150,497615,817535,53.7363,Bolivia
BOL,Bolivia,1972,31.5576,1266.7575,1770,717153.1617,25174.8023,38.525,85,72.9112,1050.8495,41.5182,15.7124,22.2013,1431167,550820,880347,57.6282,Bolivia
BOL,Bolivia,1973,33.2395,1334.2695,1808,817298.4,26390.662,39.0931,100,71.9641,1037.2001,42.3098,17.2179,24.1927,1559542,570724,988818,61.8849,Bolivia
BOL,Bolivia,1974,35.8594,1439.4388,1843,818958.9333,28090.2929,39.6716,110,70.8313,1020.8738,43.2113,17.7489,24.7152,1593220,589490,1003730,62.2993,Bolivia
BOL,Bolivia,1975,37.7868,1516.8066,1880,929960.8,27101.4164,40.1062,120,69.5374,1002.2241,44.1433,18.6704,26.198,1688806,621896,1066910,65.3214,Bolivia
BOL,Bolivia,1976,39.6663,1592.2493,1916,950648.7625,28215.5823,40.3414,120,68.2366,983.477,44.6912,19.2503,26.9139,1734961,660819,1074142,66.7154,Bolivia
BOL,Bolivia,1977,41.6013,1669.9241,1953,843642.0583,30420.6223,40.5602,120,67.1565,967.9095,45.4809,18.718,26.5518,1711617,696091,1015526,65.4628,Bolivia
BOL,Bolivia,1978,44.5598,1788.6804,1989,866134.1392,32336.9006,41.1938,125,66.6954,961.2632,46.1,19.5334,26.6163,1715774,710436,1005338,64.6124,Bolivia
BOL,Bolivia,1979,46.3759,1861.5813,2025,928159.8867,31890.6929,41.7872,130,66.6511,960.6248,46.9456,20.1318,26.9688,1738497,748701,989796,64.5384,Bolivia
BOL,Bolivia,1980,47.5701,1909.5179,2062,943986.4642,34227.0311,42.4429,140,67.2422,969.144,47.6509,20.9987,29.8079,1921517,881801,1039716,70.2306,Bolivia
BOL,Bolivia,1981,48.1466,1932.6601,2099,954151.1158,38474.5833,43.8256,144,69.0876,995.7422,48.4975,22.6351,30.2244,1948365,859529,1088836,68.9653,Bolivia
BOL,Bolivia,1982,49.2037,1975.0907,2136,1096441.203,34634.2955,44.1899,148,69.66,1003.991,49.1176,22.4368,30.6196,1973839,859582,1114257,69.2909,Bolivia
BOL,Bolivia,1983,51.938,2084.8518,2173,789253.4042,43416.3503,45.112,153,70.6707,1018.5581,49.7518,22.596,25.7828,1662041,887132,774909,57.1527,Bolivia
BOL,Bolivia,1984,50.3087,2019.4494,2217,1164448.978,36931.326,45.4693,157,70.7137,1019.1779,50.705,23.8868,29.7295,1916460,844509,1071951,65.3837,Bolivia
BOL,Bolivia,1985,52.5221,2108.2982,2187,1420384.026,38124.1064,47.1932,160,72.4193,1043.7601,50.291,26.337,33.0349,2129538,894399,1235139,69.9993,Bolivia
BOL,Bolivia,1986,51.5607,2069.7069,2203,1464156.487,39748.7041,47.841,165,73.7827,1063.4104,50.8323,27.3363,32.4312,2090623,845562,1245061,67.7896,Bolivia
BOL,Bolivia,1987,53.225,2136.5117,2227,1211476.768,41507.1461,48.405,170,76.0832,1096.568,51.2686,26.0407,33.9839,2190711.877,899477,1291055,70.2074,Bolivia
BOL,Bolivia,1988,54.4548,2185.8768,2250,1181338.966,41762.8526,48.7662,174,76.5721,1103.614,51.6756,25.8791,35.631,2296892.925,980646,1315843,73.0649,Bolivia
BOL,Bolivia,1989,54.9993,2207.7364,2270,1045039.219,49922.6637,50.2138,179,79.0345,1139.1032,52.1417,27.4699,36.24,2336151.428,1008469,1326184,72.1714,Bolivia
BOL,Bolivia,1990,53.5513,2149.6099,2255,1024230.169,32419.1636,48.5067,183,83.5394,1204.0312,51.9703,20.9849,37.1413,2394247.175,1033006,1359741,76.5693,Bolivia
BOL,Bolivia,1991,54.6476,2193.6177,2296,1170523.156,38217.2344,51.8602,187,89.0966,1284.126,52.7871,24.3594,38.8666,2505466.951,1037388,1467272,74.9449,Bolivia
BOL,Bolivia,1992,55.324,2220.7701,2331,1003710.823,45710.5314,52.523,190,90.2588,1300.877,53.3625,24.6932,38.0079,2450112.806,1037922,1411173,72.3642,Bolivia
BOL,Bolivia,1993,55.8359,2241.3172,2378,1460417.09,45464.7338,55.3746,195,91.9101,1324.677,54.3008,29.6731,40.7204,2624969.242,1102957,1519374,73.5362,Bolivia
BOL,Bolivia,1994,56.4048,2264.1511,2516,1213012.568,49374.4495,55.5568,200,93.6171,1349.279,56.4722,28.2038,43.6025,2810760.443,1187476,1620733,78.4827,Bolivia
BOL,Bolivia,1995,57.8856,2323.5957,2765,1322224.712,47621.8951,57.137,204,95.5702,1377.429,60.3189,28.9085,47.1814,3041469.315,1241188,1797730,82.5759,Bolivia
BOL,Bolivia,1996,58.9092,2364.6825,2853,1388596.666,51912.7345,58.8453,208,97.2825,1402.108,61.7133,30.9344,49.0852,3164192.635,1279239,1883425,83.414,Bolivia
