"Year","Month","Day","Time","End Year","End Month","End Day","End Time","Display Date","Headline","Text","Media","Media Credit","Media Caption","Media Thumbnail","Type","Group","Background","Tag"
1990,,,,2005,12,17,,"1990-2005 Era neoliberal","Bolivia pre-MAS: del ajuste al quiebre","<strong>Slide inicial.</strong> Periodo marcado por la consolidación del modelo neoliberal iniciado con el DS 21060 (1985) y cerrado con el triunfo de Evo Morales en diciembre de 2005. En agricultura predominó el desmantelamiento progresivo del IBTA/CIAT-estatal, la apertura comercial y la titulación vía saneamiento INRA (Ley 1715). El gasto público agropecuario cayó por debajo del 3% del presupuesto nacional en casi todo el periodo. <br><br><em>Cubre variables del panel</em>: <code>spending_agro_pct_total</code>, <code>inversion_agro_pct_gdp</code>, <code>saneamiento_ha_acum</code> desde 1996.","media/pre_2006/hito_01.jpg","Wikimedia Commons / Dominio público","Bandera de estado de Bolivia",,"title","Eventos","","era_neoliberal|pre_mas|contexto"
1991,3,7,,,,,,"7 marzo 1991","Ley 1178 SAFCO — administración y control gubernamental","La <strong>Ley 1178 de Administración y Control Gubernamentales (SAFCO)</strong>, promulgada el 20 de julio de 1990 bajo Jaime Paz Zamora, comenzó a reglamentarse en 1991 e instauró siete sistemas (programación de operaciones, organización administrativa, presupuesto, administración de personal, administración de bienes y servicios, tesorería y crédito público, contabilidad integrada) y control gubernamental interno/externo. Sentó la base de toda la contabilidad presupuestaria del Ministerio de Asuntos Campesinos y Agropecuarios (MACA) y antecesores del MDRyT. <br><br>La ley obliga a cada entidad pública a rendir cuentas sobre el logro de objetivos, introduciendo la <em>responsabilidad por la función pública</em>. Es el marco que hace posible el ejercicio de un APER en Bolivia: sin SAFCO no existen las series de ejecución presupuestaria utilizadas. <br><br><em>Impacto en el panel</em>: define la unidad de registro de <code>spending_agro_pct_total</code> y la clasificación funcional-programática desde 1990.","media/pre_2006/hito_02.png","Wikimedia Commons / Dominio público","Escudo de Bolivia — instrumento estatal",,"","Leyes","","safco|presupuesto|1990"
1992,4,27,,,,,,"27 abril 1992","Ley 1333 del Medio Ambiente","La <strong>Ley 1333</strong> promulgada por Jaime Paz Zamora estableció el marco ambiental que condicionaría toda expansión agrícola posterior, incluyendo requisitos de EEIA (Estudio de Evaluación de Impacto Ambiental) para desmontes, manejo forestal y uso de agroquímicos. Complementada por los reglamentos de 1995 (DS 24176), fue el instrumento invocado para autorizar —y para cuestionar— la expansión soyera en Santa Cruz. <br><br>La ley creó la <strong>Secretaría Nacional del Medio Ambiente (SENMA)</strong>, antecesora del actual Ministerio de Medio Ambiente y Agua, y el Fondo Nacional para el Medio Ambiente (FONAMA). Junto con la Ley Forestal 1700 (1996) conformó el andamiaje ambiental del ciclo neoliberal. <br><br><em>Impacto en el panel</em>: variable <code>gasto_ambiental_agro</code> y <code>ha_desmonte_autorizado</code> desde 1995.","media/pre_2006/hito_03.jpg","Wikimedia Commons / Sam Beebe / CC-BY-2.0","Amazonía boliviana — objeto de la Ley 1333",,"","Leyes","","medio_ambiente|ley_1333|1992"
1996,7,12,,,,,,"12 julio 1996","Ley Forestal 1700","La <strong>Ley Forestal 1700</strong> del 12 de julio de 1996, bajo el primer gobierno de Gonzalo Sánchez de Lozada, reemplazó el régimen de extracción libre por un sistema de <em>concesiones forestales</em> de hasta 40 años renovables, con patente por hectárea y Planes Generales de Manejo Forestal (PGMF) obligatorios. Creó la <strong>Superintendencia Forestal</strong> y el Fondo Nacional de Desarrollo Forestal (FONABOSQUE). <br><br>Bolivia se convirtió en el primer país con más superficie certificada FSC del mundo en bosques tropicales hacia 2000 (≈1.5 millones de ha). La ley coexistió tensamente con el saneamiento INRA y con la expansión agropecuaria: el 'chaqueo' ilegal siguió siendo la principal causa de deforestación. <br><br><em>Impacto en el panel</em>: variables <code>area_concesion_forestal</code>, <code>patentes_forestales_ingresos</code>, e inflexión en deforestación 1996-2005.","media/pre_2006/hito_04.png","Wikimedia Commons / CC-BY-SA","Bosque chiquitano — régimen de la Ley 1700",,"","Leyes","","ley_forestal|1700|concesiones|1996"
1996,10,18,,,,,,"18 octubre 1996","Ley INRA 1715 — Reforma Agraria moderna","La <strong>Ley 1715 del Servicio Nacional de Reforma Agraria (INRA)</strong>, promulgada el 18 de octubre de 1996 tras la marcha indígena de tierras bajas, creó el <strong>Instituto Nacional de Reforma Agraria (INRA)</strong>, la Superintendencia Agraria y el Tribunal Agrario Nacional. Introdujo cuatro figuras: (i) <em>saneamiento</em> de la propiedad (SAN-SIM, SAN-TCO, SAN-CAT), (ii) <em>Tierras Comunitarias de Origen (TCO)</em> para pueblos indígenas, (iii) la <em>Función Económico-Social (FES)</em> como condición de permanencia, y (iv) reversión por incumplimiento. <br><br>El plazo original de saneamiento de 10 años fue prorrogado por la Ley 3545 (2006). Al 2005, solo ~9% del territorio nacional había sido saneado; las TCO tituladas cubrían ~5 Mha. Fue la reforma agraria más importante desde la de 1953. <br><br>Fuente primaria: Gaceta Oficial 1996; texto en <a href='https://www.lexivox.org/norms/BO-L-1715.html'>LexiVox</a>. <br><br><em>Impacto en el panel</em>: origen de <code>saneamiento_ha_acum</code>, <code>tco_tituladas_ha</code>, inversión institucional INRA.","media/pre_2006/hito_05.jpg","Wikimedia Commons / CC-BY-SA","Altiplano boliviano — paisaje agrario de la reforma",,"","Leyes","","reforma_agraria|inra|ley_1715|1996|tco"
1997,4,21,,,,,,"21 abril 1997","Ley 1770 de Arbitraje y Conciliación","La <strong>Ley 1770</strong> introdujo el arbitraje comercial en Bolivia, habilitando mecanismos extrajudiciales para disputas agropecuarias (contratos de compraventa de soya, contratos de maquila azucarera). Aunque de carácter general, fue utilizada intensivamente por la agroindustria cruceña (ANAPO, CAINCO) y por inversionistas extranjeros en el sector agropecuario. <br><br>Complementa la arquitectura pro-mercado de la Ley INRA y la Ley Forestal, facilitando contratos privados entre pequeños productores y acopiadores/molineras sin pasar por la justicia ordinaria. <br><br><em>Impacto en el panel</em>: indirecto, en formalización contractual de la cadena agro-exportadora.","media/pre_2006/hito_06.png","Wikimedia Commons / Dominio público","Escudo de Bolivia",,"","Leyes","","arbitraje|ley_1770|1997"
2000,3,23,,,,,,"23 marzo 2000","Ley 2061 — creación del SENASAG","La <strong>Ley 2061 del 16 de marzo de 2000</strong> creó el <strong>Servicio Nacional de Sanidad Agropecuaria e Inocuidad Alimentaria (SENASAG)</strong> como entidad descentralizada del entonces Ministerio de Agricultura, Ganadería y Desarrollo Rural (MAGDR) bajo Hugo Banzer. Unificó las competencias de sanidad animal, sanidad vegetal, inocuidad alimentaria y control de insumos antes dispersas. <br><br>SENASAG se convirtió en la ventanilla única para certificación fito-zoosanitaria de exportaciones (soya, carne, quinua) y para el registro de plaguicidas. Su creación fue condición de acceso a mercados del MERCOSUR y de la CAN. Sede central: Trinidad, Beni. <br><br>Fuente: <a href='https://www.senasag.gob.bo/'>senasag.gob.bo</a>; Gaceta Oficial. <br><br><em>Impacto en el panel</em>: variable <code>gasto_senasag</code>, <code>certificaciones_fitosanitarias</code>; inflexión en exportaciones cárnicas y de soya post-2000.","media/pre_2006/hito_07.jpg","Wikimedia Commons / Dominio público","Emblema institucional — SENASAG bajo MAGDR",,"","Institucional","","senasag|sanidad|ley_2061|2000"
2000,4,8,,,,,,"abril 2000","Guerra del Agua — Cochabamba","La <strong>Guerra del Agua</strong> de abril de 2000 en Cochabamba fue la movilización que revertió la concesión de SEMAPA a Aguas del Tunari (consorcio Bechtel), tras la entrada en vigor de la Ley 2029 de Agua Potable y Alcantarillado (octubre 1999). Aunque centrada en agua urbana, la movilización politizó los <em>usos y costumbres</em> del agua de riego campesino, incluida en la controvertida ley. <br><br>La derogación de la Ley 2029 y posterior aprobación de la <strong>Ley 2066</strong> reconoció los derechos campesinos-indígenas al agua. Este evento marca el inicio del ciclo de protesta que culmina en 2003-2005 y adelanta la futura Ley 2878 de Riego (2004). <br><br>Fuente: <a href='https://es.wikipedia.org/wiki/Guerra_del_Agua_(Bolivia)'>Wikipedia ES</a>; CEDLA. <br><br><em>Impacto en el panel</em>: antecedente directo de <code>inversion_riego_pct_gdp</code> y creación del SENARI en 2004.","media/pre_2006/hito_08.jpg","Wikimedia Commons / Dominio público (imagen de prensa)","Movilización en Cochabamba, abril 2000",,"","Eventos","","guerra_agua|cochabamba|riego|2000"
2001,7,31,,,,,,"31 julio 2001","Ley 2235 del Diálogo Nacional 2000 (HIPC II)","La <strong>Ley 2235 del Diálogo Nacional 2000</strong>, promulgada el 31 de julio de 2001, institucionalizó el <strong>Diálogo Nacional</strong> como mecanismo de definición de políticas y canalizó los recursos del alivio de deuda HIPC-II (Iniciativa para Países Pobres Altamente Endeudados) hacia los municipios mediante la <strong>Cuenta Especial Diálogo 2000</strong>. <br><br>De los ~US$ 1,300 millones aliviados, el 70% se distribuyó a municipios por fórmula de pobreza, y el 20% directamente a educación/salud. Para el sector rural, los municipios recibieron recursos etiquetables para infraestructura productiva, con co-ejecución del Fondo Productivo Social (FPS) y el Fondo Nacional de Desarrollo Regional (FNDR). <br><br>Fuente: Ley 2235 en Gaceta Oficial; <a href='https://www.cedla.org/'>CEDLA</a>. <br><br><em>Impacto en el panel</em>: variable <code>hipc_agro_municipios</code>, disparador del gasto agropecuario descentralizado 2001-2005.","media/pre_2006/hito_09.jpg","Wikimedia Commons / Dominio público","Escudo boliviano — institucionalidad HIPC",,"","Leyes","","hipc|dialogo_2000|ley_2235|descentralizacion"
2001,12,31,,,,,,"diciembre 2001","DS 26462 — Estrategia Boliviana de Reducción de Pobreza (EBRP)","La <strong>Estrategia Boliviana de Reducción de Pobreza (EBRP)</strong>, aprobada por DS 26462 en 2001 bajo Jorge Quiroga, consolidó la condicionalidad HIPC-II con un plan plurianual que destinaba cerca de <strong>US$ 400 millones/año durante 15 años</strong> a cuatro ejes: oportunidades (incluye desarrollo rural), capacidades humanas, seguridad y protección, y participación e integración social. <br><br>El componente rural incluía el Plan Nacional de Desarrollo Agropecuario y Rural, con metas de riego (80,000 ha nuevas), caminos vecinales y asistencia técnica vía SIBTA. Gran parte de la EBRP fue abandonada tras la crisis de octubre 2003 y reemplazada por el PND de 2006. <br><br>Fuentes: <a href='https://documents.worldbank.org/'>World Bank PRSP archive Bolivia 2001</a>. <br><br><em>Impacto en el panel</em>: marco contable de todas las transferencias agro 2001-2005; fuente de series <code>inversion_rural_prsp</code>.","media/pre_2006/hito_10.jpg","Wikimedia Commons / Dominio público","Identidad estatal — EBRP como política de gobierno",,"","Programas","","ebrp|prsp|hipc|2001|sibta"
