variable,type,n_obs,pct_filled,group
year,integer,35,100,00_id
bob_per_usd,numeric,24,68.6,01_macro
bob_per_usd_idb,numeric,4,11.4,01_macro
cpi_2010base,numeric,24,68.6,01_macro
cpi_2015base,numeric,24,68.6,01_macro
cpi_index,numeric,24,68.6,01_macro
gdp_current_usd,numeric,24,68.6,01_macro
gdp_deflator,numeric,24,68.6,01_macro
gdp_per_capita_const2015,numeric,24,68.6,01_macro
gdp_per_capita_usd,numeric,24,68.6,01_macro
inflation_cpi,numeric,24,68.6,01_macro
inv_hidrocarb_usd_mm,numeric,35,100,01_macro
inv_infraestr_usd_mm,numeric,35,100,01_macro
inv_multisec_usd_mm,numeric,35,100,01_macro
inv_productivos_usd_mm,numeric,35,100,01_macro
inv_pub_total_usd_mm,numeric,35,100,01_macro
inv_sociales_usd_mm,numeric,35,100,01_macro
inv_agro_bob_mm_2015,numeric,24,68.6,02_gasto_vipfe
inv_agro_bob_mm_current,numeric,24,68.6,02_gasto_vipfe
inv_agro_pct_gdp,numeric,24,68.6,02_gasto_vipfe
inv_agro_pct_total,numeric,35,100,02_gasto_vipfe
inv_agro_usd_mm,numeric,35,100,02_gasto_vipfe
aper_agro_spend_bob_2015,numeric,9,25.7,03_aper_2011
aper_agro_spend_bob_current_aper,numeric,9,25.7,03_aper_2011
aper_agro_spend_pct_gdp,numeric,9,25.7,03_aper_2011
aper_agro_spend_usd,numeric,9,25.7,03_aper_2011
aper_agro_spend_usd_2015,numeric,9,25.7,03_aper_2011
aper_spend_administracion_general,numeric,9,25.7,03_aper_2011
aper_spend_fomento_produccion,numeric,9,25.7,03_aper_2011
aper_spend_investigacion_extension,numeric,9,25.7,03_aper_2011
aper_spend_riego_agua,numeric,9,25.7,03_aper_2011
aper_spend_sanidad_inocuidad,numeric,9,25.7,03_aper_2011
boost_fuente_credito_ext_mm,numeric,13,37.1,04_gasto_boost
boost_fuente_credito_int_mm,numeric,13,37.1,04_gasto_boost
boost_fuente_donacion_mm,numeric,13,37.1,04_gasto_boost
boost_fuente_rec_esp_mm,numeric,13,37.1,04_gasto_boost
