"Year","Month","Day","End_Year","End_Month","Headline","Text_Preview","Group","Type","Tag","Media_URL"
1990,,,2005,12,"Bolivia pre-MAS: del ajuste al quiebre","Slide inicial. Periodo marcado por la consolidación del modelo neoliberal iniciado con el DS 21060 (1985) y cerrado con el triunfo de Evo Morales en diciembre de 2005. En agricultura ","Eventos","title","era_neoliberal|pre_mas|contexto","https://upload.wikimedia.org/wikipedia/commons/0/05/Flag_of_Bolivia_%28state%29.svg"
1991,3,7,,,"Ley 1178 SAFCO — administración y control gubernamental","La Ley 1178 de Administración y Control Gubernamentales (SAFCO), promulgada el 20 de julio de 1990 bajo Jaime Paz Zamora, comenzó a reglamentarse en 1991 e instauró siete sistemas (pr","Leyes","","safco|presupuesto|1990","https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Coat_of_arms_of_Bolivia.svg/300px-Coat_of_arms_of_Bolivia.svg.png"
1992,4,27,,,"Ley 1333 del Medio Ambiente","La Ley 1333 promulgada por Jaime Paz Zamora estableció el marco ambiental que condicionaría toda expansión agrícola posterior, incluyendo requisitos de EEIA (Estudio de Evaluación de ","Leyes","","medio_ambiente|ley_1333|1992","https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Bolivia_Amazon.jpg/640px-Bolivia_Amazon.jpg"
1996,7,12,,,"Ley Forestal 1700","La Ley Forestal 1700 del 12 de julio de 1996, bajo el primer gobierno de Gonzalo Sánchez de Lozada, reemplazó el régimen de extracción libre por un sistema de concesiones forestal","Leyes","","ley_forestal|1700|concesiones|1996","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Chiquitano_dry_forest.jpg/640px-Chiquitano_dry_forest.jpg"
1996,10,18,,,"Ley INRA 1715 — Reforma Agraria moderna","La Ley 1715 del Servicio Nacional de Reforma Agraria (INRA), promulgada el 18 de octubre de 1996 tras la marcha indígena de tierras bajas, creó el Instituto Nacional de Reform","Leyes","","reforma_agraria|inra|ley_1715|1996|tco","https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Altiplano_Bolivia_01.jpg/640px-Altiplano_Bolivia_01.jpg"
1997,4,21,,,"Ley 1770 de Arbitraje y Conciliación","La Ley 1770 introdujo el arbitraje comercial en Bolivia, habilitando mecanismos extrajudiciales para disputas agropecuarias (contratos de compraventa de soya, contratos de maquila azu","Leyes","","arbitraje|ley_1770|1997","https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Coat_of_arms_of_Bolivia.svg/300px-Coat_of_arms_of_Bolivia.svg.png"
2000,3,23,,,"Ley 2061 — creación del SENASAG","La Ley 2061 del 16 de marzo de 2000 creó el Servicio Nacional de Sanidad Agropecuaria e Inocuidad Alimentaria (SENASAG) como entidad descentralizada del entonces Mini","Institucional","","senasag|sanidad|ley_2061|2000","https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Coat_of_arms_of_Bolivia.svg/300px-Coat_of_arms_of_Bolivia.svg.png"
2000,4,8,,,"Guerra del Agua — Cochabamba","La Guerra del Agua de abril de 2000 en Cochabamba fue la movilización que revertió la concesión de SEMAPA a Aguas del Tunari (consorcio Bechtel), tras la entrada en vigor de la Ley 20","Eventos","","guerra_agua|cochabamba|riego|2000","https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Cochabamba_Water_War.jpg/640px-Cochabamba_Water_War.jpg"
2001,7,31,,,"Ley 2235 del Diálogo Nacional 2000 (HIPC II)","La Ley 2235 del Diálogo Nacional 2000, promulgada el 31 de julio de 2001, institucionalizó el Diálogo Nacional como mecanismo de definición de políticas y canalizó lo","Leyes","","hipc|dialogo_2000|ley_2235|descentralizacion","https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Coat_of_arms_of_Bolivia.svg/300px-Coat_of_arms_of_Bolivia.svg.png"
2001,12,31,,,"DS 26462 — Estrategia Boliviana de Reducción de Pobreza (EBRP)","La Estrategia Boliviana de Reducción de Pobreza (EBRP), aprobada por DS 26462 en 2001 bajo Jorge Quiroga, consolidó la condicionalidad HIPC-II con un plan plurianual que destinaba cer","Programas","","ebrp|prsp|hipc|2001|sibta","https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Coat_of_arms_of_Bolivia.svg/300px-Coat_of_arms_of_Bolivia.svg.png"
